"core","treatment","site"
"S6","baseline","Washington"
"S8","baseline","Washington"
"S22","baseline","Washington"
"S12","baseline","Washington"
"S20","baseline","Washington"
"S21","field moist","Washington"
"S13","field moist","Washington"
"S19","field moist","Washington"
"S15","field moist","Washington"
"S1","field moist","Washington"
"S9","time zero saturation","Washington"
"S16","time zero saturation","Washington"
"S17","time zero saturation","Washington"
"S23","time zero saturation","Washington"
"S11","time zero saturation","Washington"
"S7","flood","Washington"
"S3","flood","Washington"
"S2","flood","Washington"
"S24","flood","Washington"
"S18","flood","Washington"
"S4","drought","Washington"
"S5","drought","Washington"
"S25","drought","Washington"
"S10","drought","Washington"
"S14","drought","Washington"
"C1","baseline","Alaska"
"C2","baseline","Alaska"
"C3","baseline","Alaska"
"C4","baseline","Alaska"
"C5","baseline","Alaska"
"C6","time zero saturation","Alaska"
"C7","time zero saturation","Alaska"
"C8","time zero saturation","Alaska"
"C9","time zero saturation","Alaska"
"C10","time zero saturation","Alaska"
"C11","flood","Alaska"
"C12","flood","Alaska"
"C13","flood","Alaska"
"C14","flood","Alaska"
"C15","flood","Alaska"
"C16","field moist","Alaska"
"C17","field moist","Alaska"
"C18","field moist","Alaska"
"C19","field moist","Alaska"
"C20","field moist","Alaska"
"C21","drought","Alaska"
"C22","drought","Alaska"
"C23","drought","Alaska"
"C24","drought","Alaska"
"C25","drought","Alaska"
"D1","baseline","Florida"
"D2","baseline","Florida"
"D3","baseline","Florida"
"D4","baseline","Florida"
"D5","baseline","Florida"
"D6","time zero saturation","Florida"
"D7","time zero saturation","Florida"
"D8","time zero saturation","Florida"
"D9","time zero saturation","Florida"
"D10","time zero saturation","Florida"
"D11","flood","Florida"
"D12","flood","Florida"
"D13","flood","Florida"
"D14","flood","Florida"
"D15","flood","Florida"
"D16","field moist","Florida"
"D17","field moist","Florida"
"D18","field moist","Florida"
"D19","field moist","Florida"
"D20","field moist","Florida"
"D21","drought","Florida"
"D22","drought","Florida"
"D23","drought","Florida"
"D24","drought","Florida"
"D25","drought","Florida"
