21T_CCS-2_Day8_1-C11_11Jan18_Leopard_Infuse-qb,FTICR_ID,Sample_Type,CoreID,CoreNo,Site,Treatment,Suction,Pore Size Domain,SampleID,Water Soluble Organic Carbon (mg/L),NPOC (M/L),,,,,,,,,,,,,,
21T_CCS-2_Day1_1-C21_04Jan18_Leopard_Infuse-qb,1-C21,sample,C21,21,CPCRW,Drought Incubation,1.5 kPa,> 300 µm,1.5-C21,20.1,1.68E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-C22_11Jan18_Leopard_Infuse-qb,1-C22,sample,C22,22,CPCRW,Drought Incubation,1.5 kPa,> 300 µm,1.5-C22,79.8,6.65E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-C23_04Jan18_Leopard_Infuse-qb,1-C23,sample,C23,23,CPCRW,Drought Incubation,1.5 kPa,> 300 µm,1.5-C23,266.6,2.22E-02,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-C24-rr_400scans,1-C24,sample,C24,24,CPCRW,Drought Incubation,1.5 kPa,> 300 µm,1.5-C24,112,9.33E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-C25_04Jan18_Leopard_Infuse-qb,1-C25,sample,C25,25,CPCRW,Drought Incubation,1.5 kPa,> 300 µm,1.5-C25,80.6,6.71E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C16_15Jan18_Leopard_Infuse-qb,1-C16,sample,C16,16,CPCRW,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-C16,25.7,2.14E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-C17_04Jan18_Leopard_Infuse-qb,1-C17,sample,C17,17,CPCRW,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-C17,19.2,1.60E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-C18_04Jan18_Leopard_Infuse-qb,1-C18,sample,C18,18,CPCRW,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-C18,33.1,2.75E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-C19_11Jan18_Leopard_Infuse-qb,1-C19,sample,C19,19,CPCRW,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-C19,11.8,9.86E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C20_15Jan18_Leopard_Infuse-qb,1-C20,sample,C20,20,CPCRW,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-C20,16.3,1.36E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C11_15Jan18_Leopard_Infuse-qb,1-C11,sample,C11,11,CPCRW,Saturation Incubation,1.5 kPa,> 300 µm,1.5-C11,33.6,2.80E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-C12_04Jan18_Leopard_Infuse-qb,1-C12,sample,C12,12,CPCRW,Saturation Incubation,1.5 kPa,> 300 µm,1.5-C12,70.7,5.88E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-C13_11Jan18_Leopard_Infuse-qb,1-C13,sample,C13,13,CPCRW,Saturation Incubation,1.5 kPa,> 300 µm,1.5-C13,32.5,2.70E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-C14_11Jan18_Leopard_Infuse-qb,1-C14,sample,C14,14,CPCRW,Saturation Incubation,1.5 kPa,> 300 µm,1.5-C14,27.8,2.32E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-C15_08Jan18_Leopard_Infuse-qb,1-C15,sample,C15,15,CPCRW,Saturation Incubation,1.5 kPa,> 300 µm,1.5-C15,99.5,8.28E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-C6-rr_400scans,1-C6,sample,C6,6,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C6,23.6,1.97E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-C7_04Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-C7-a_08Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_1-C7_08Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-C7_11Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-C7_11Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-C7-rr_15Jan18_Leopard_Infuse-qb,1-C7,ref,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-C7-b_08Jan18_Leopard_Infuse-qb,1-C7,sample,C7,7,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C7,33.4,2.78E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-C8_08Jan18_Leopard_Infuse-qb,1-C8,sample,C8,8,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C8,23,1.91E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-C9_11Jan18_Leopard_Infuse-qb,1-C9,sample,C9,9,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C9,32.3,2.69E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-C10-rr_15Jan18_Leopard_Infuse-qb,1-C10,sample,C10,10,CPCRW,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-C10,19.2,1.60E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-D21_11Jan18_Leopard_Infuse-qb,1-D21,sample,D21,21,DWP,Drought Incubation,1.5 kPa,> 300 µm,1.5-D21,87.1,7.25E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-D22_11Jan18_Leopard_Infuse-qb,1-D22,sample,D22,22,DWP,Drought Incubation,1.5 kPa,> 300 µm,1.5-D22,64.1,5.34E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-D23_04Jan18_Leopard_Infuse-qb,1-D23,sample,D23,23,DWP,Drought Incubation,1.5 kPa,> 300 µm,1.5-D23,31.9,2.66E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-D24_11Jan18_Leopard_Infuse-qb,1-D24,sample,D24,24,DWP,Drought Incubation,1.5 kPa,> 300 µm,1.5-D24,107.1,8.91E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-D25_11Jan18_Leopard_Infuse-qb,1-D25,sample,D25,25,DWP,Drought Incubation,1.5 kPa,> 300 µm,1.5-D25,54.9,4.57E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-D17_08Jan18_Leopard_Infuse-qb,1-D17,sample,D17,17,DWP,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-D17,36,3.00E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-D18_04Jan18_Leopard_Infuse-qb,1-D18,sample,D18,18,DWP,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-D18,78.1,6.50E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-D19_08Jan18_Leopard_Infuse-qb,1-D19,sample,D19,19,DWP,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-D19,49.1,4.09E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-D20_04Jan18_Leopard_Infuse-qb,1-D20,sample,D20,20,DWP,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-D20,22.1,1.84E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-D11_15Jan18_Leopard_Infuse-qb,1-D11,sample,D11,11,DWP,Saturation Incubation,1.5 kPa,> 300 µm,1.5-D11,30.4,2.53E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-D12_15Jan18_Leopard_Infuse-qb,1-D12,sample,D12,12,DWP,Saturation Incubation,1.5 kPa,> 300 µm,1.5-D12,19.3,1.61E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-D13_11Jan18_Leopard_Infuse-qb,1-D13,sample,D13,13,DWP,Saturation Incubation,1.5 kPa,> 300 µm,1.5-D13,57,4.75E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-D14_11Jan18_Leopard_Infuse-qb,1-D14,sample,D14,14,DWP,Saturation Incubation,1.5 kPa,> 300 µm,1.5-D14,53.9,4.49E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-D15-rr_400scans,1-D15,sample,D15,15,DWP,Saturation Incubation,1.5 kPa,> 300 µm,1.5-D15,49.8,4.15E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_1-D6_08Jan18_Leopard_Infuse-qb,1-D6,sample,D6,6,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D6,108.3,9.02E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-D7_04Jan18_Leopard_Infuse-qb,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
