C,H,N,O,S,P,,mass,,PreHW1.csv,PreHW2.csv,PreHW3.csv,Initial,AvgInitial,,PosFHW7.csv,PosFHW8.csv,PosFHW9.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
15,8,0,9,0,0,,331.009555,,1720502,2185696,1486236,Yes,1797478,,0,0,0,No,0,,0.533333333,0.6,,331.00955,12,0.8,1.5,1.333333333,O,,,0.714285714,,CondAr,----,----,----,----,----,,331.08610,331.00000,0.08610
16,8,0,9,0,0,,343.009555,,2594190,2753865,2248282,Yes,2532112.333,,0,0,0,No,0,,0.5,0.5625,,343.00955,13,0.8125,1.625,1.444444444,O,,,0.739130435,,CondAr,----,----,----,----,----,,343.08887,343.00000,0.08887
16,8,0,10,0,0,,359.0044696,,3565969,3154787,2396802,Yes,3039186,,0,0,0,No,0,,0.5,0.625,,359.00447,13,0.8125,1.625,1.3,O,,,0.727272727,,CondAr,----,----,----,----,----,,359.08748,359.00000,0.08748
16,8,0,11,0,0,,374.9993842,,2524092,2204479,1626954,Yes,2118508.333,,0,0,0,No,0,,0.5,0.6875,,374.99938,13,0.8125,1.625,1.181818182,O,,,0.714285714,,CondAr,----,----,----,----,----,,375.08610,375.00000,0.08610
16,10,0,8,0,0,,329.0302904,,2542818,2454507,1973578,Yes,2323634.333,,0,0,0,No,0,,0.625,0.5,,329.03029,12,0.75,1.2,1.5,O,,,0.666666667,,CondAr,----,----,----,----,----,,329.10637,329.00000,0.10637
17,8,0,10,0,0,,371.0044696,,3921354,3453793,2610725,Yes,3328624,,0,0,0,No,0,,0.470588235,0.588235294,,371.00447,14,0.823529412,1.75,1.4,O,,,0.75,,CondAr,----,----,----,----,----,,371.09026,371.00000,0.09026
17,8,0,11,0,0,,386.9993842,,5791763,4908408,4232030,Yes,4977400.333,,0,0,0,No,0,,0.470588235,0.647058824,,386.99938,14,0.823529412,1.75,1.272727273,O,,,0.739130435,,CondAr,----,----,----,----,----,,387.08887,387.00000,0.08887
17,8,0,12,0,0,,402.9942988,,3252010,3751188,2371533,Yes,3124910.333,,0,0,0,No,0,,0.470588235,0.705882353,,402.99430,14,0.823529412,1.75,1.166666667,O,,,0.727272727,,CondAr,----,----,----,----,----,,403.08749,403.00000,0.08749
17,10,0,8,0,0,,341.0302904,,2562359,3287265,2129285,Yes,2659636.333,,0,0,0,No,0,,0.588235294,0.470588235,,341.03029,13,0.764705882,1.3,1.625,O,,,0.692307692,,CondAr,----,----,----,----,----,,341.10915,341.00000,0.10915
17,10,0,9,0,0,,357.025205,,4668574,5183095,3638787,Yes,4496818.667,,0,0,0,No,0,,0.588235294,0.529411765,,357.02520,13,0.764705882,1.3,1.444444444,O,,,0.68,,CondAr,----,----,----,----,----,,357.10776,357.00000,0.10776
18,8,0,10,0,0,,383.0044696,,1895161,2819168,1654526,Yes,2122951.667,,0,0,0,No,0,,0.444444444,0.555555556,,383.00447,15,0.833333333,1.875,1.5,O,,,0.769230769,,CondAr,----,----,----,----,----,,383.09303,383.00000,0.09303
