Site,Core#,Treatment,Pre-Saturation Weight,Post-Saturation Weight,Water_Imbibed,Post-PoreWater_weight,Water_removed,15mb_empty,15mb_empty_extra,150mb_empty,150mb_empty_extra,500mb_empty,15mb__full,150mb_full,500mb_full,15mb_full_extra,150mb_full_extra,vol_15mb,vol_150mb,vol_500mb,TotalPoreWater_vol
CPCRW,6,Sat_I,559.4,593.35,33.95,no weight recorded,,29.09,no weight recorded,30.04,0,28.74,54.66,36.96,33.06,38.54,0,,,4.32,
CPCRW,7,Sat_I,590.02,605.26,15.24,no weight recorded,,28.69,0,29.14,0,28.87,48.31,38.06,35.75,0,0,19.62,8.92,6.88,35.42
CPCRW,8,Sat_I,470.54,539.8,69.26,no weight recorded,,29.51,no weight recorded,30,0,29.64,63.38,47.59,46.04,58.18,0,,,16.4,
CPCRW,9,Sat_I,472.16,551.43,79.27,no weight recorded,,29.61,no weight recorded,28.89,0,29.2,58.61,40.28,35.79,61.88,0,,,6.59,
CPCRW,10,Sat_I,514.08,547.71,33.63,no weight recorded,,28.88,0,28.86,0,29.19,56.58,51.09,39.75,0,0,27.7,22.23,10.56,60.49
CPCRW,11,Sat_II,469.36,556.06,86.7,no weight recorded,,29.52,0,29.55,0,29.53,99.56,32.19,32.32,0,0,70.04,2.64,2.79,75.47
CPCRW,12,Sat_II,385.58,500.25,114.67,no weight recorded,,29,0,28.68,0,29.1,145.06,37.14,32.05,0,0,116.06,8.46,2.95,127.47
CPCRW,13,Sat_II,506.01,599.65,93.64,no weight recorded,,29.77,0,29.23,0,28.96,103.19,35.13,32.07,0,0,73.42,5.9,3.11,82.43
CPCRW,14,Sat_II,480.58,577.71,97.13,no weight recorded,,28.78,0,29.02,0,28.63,111.3,34.76,32.04,0,0,82.52,5.74,3.41,91.67
CPCRW,15,Sat_II,346.81,484.2,137.39,no weight recorded,,28.99,0,29.82,0,28.98,112.3,31.59,31.27,0,0,83.31,1.77,2.29,87.37
CPCRW,16,Field_Moist,416.82,420.78,3.96,no weight recorded,,29.08,0,28.62,0,29.29,90.21,30,30.32,0,0,61.13,1.38,1.03,63.54
CPCRW,17,Field_Moist,404.03,415.01,10.98,no weight recorded,,28.83,0,28.77,0,28.53,100.56,41.19,38.34,0,0,71.73,12.42,9.81,93.96
CPCRW,18,Field_Moist,389.34,392.77,3.43,no weight recorded,,28.62,0,28.58,0,28.74,113.43,39.89,36.04,0,0,84.81,11.31,7.3,103.42
