Site,Core_ID,Treatment,SampleID,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,sequence_valve,Picarro_method,Start_Date_Time,Stop_Date_Time,Time_Zone,Time_elapsed_h,TREATMENT_PHASE,Notes,Who,Ignore_Data
DWP,6,sat_I,D6,569.7,10,3,Saturation_I_3soils_20170515_dwp.seq,6/15/2017 16:28,6/16/2017 8:14,America/Los_Angeles,15.76666667,IMMEDIATE_SATURATION,NA,TRC,NA
DWP,7,sat_I,D7,636.2,10,5,Saturation_I_3soils_20170515_dwp.seq,6/15/2017 16:28,6/16/2017 8:14,America/Los_Angeles,15.76666667,IMMEDIATE_SATURATION,NA,TRC,NA
DWP,8,sat_I,D8,546.1,10,7,Saturation_I_3soils_20170515_dwp.seq,6/15/2017 16:28,6/16/2017 8:14,America/Los_Angeles,15.76666667,IMMEDIATE_SATURATION,NA,TRC,NA
DWP,9,sat_I,D9,424.4,10,8,Saturation_I_3soils_20170515_dwp.seq,6/15/2017 16:28,6/16/2017 8:14,America/Los_Angeles,15.76666667,IMMEDIATE_SATURATION,NA,TRC,NA
DWP,10,sat_I,D10,541,10,15,Saturation_I_3soils_20170515_dwp.seq,6/15/2017 16:28,6/16/2017 8:14,America/Los_Angeles,15.76666667,IMMEDIATE_SATURATION,NA,TRC,NA
DWP,21,drought,D21,539.72,NA,3,Drought_20170616_dwp.seq,6/16/2017 17:28,6/17/2017 9:20,America/Los_Angeles,15.86666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,526.64,NA,5,Drought_20170616_dwp.seq,6/16/2017 17:28,6/17/2017 9:20,America/Los_Angeles,15.86666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,588.74,NA,7,Drought_20170616_dwp.seq,6/16/2017 17:28,6/17/2017 9:20,America/Los_Angeles,15.86666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,397.52,NA,8,Drought_20170616_dwp.seq,6/16/2017 17:28,6/17/2017 9:20,America/Los_Angeles,15.86666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,438.56,NA,15,Drought_20170616_dwp.seq,6/16/2017 17:28,6/17/2017 9:20,America/Los_Angeles,15.86666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,536.39,NA,3,Drought_20170616_dwp.seq,6/19/2017 18:08,6/20/2017 14:14,America/Los_Angeles,20.1,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,520.25,NA,5,Drought_20170616_dwp.seq,6/19/2017 18:08,6/20/2017 14:14,America/Los_Angeles,20.1,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,580.15,NA,7,Drought_20170616_dwp.seq,6/19/2017 18:08,6/20/2017 14:14,America/Los_Angeles,20.1,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,389.87,NA,8,Drought_20170616_dwp.seq,6/19/2017 18:08,6/20/2017 14:14,America/Los_Angeles,20.1,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,430.67,NA,15,Drought_20170616_dwp.seq,6/19/2017 18:08,6/20/2017 14:14,America/Los_Angeles,20.1,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,533,NA,3,Drought_20170616_dwp.seq,6/21/2017 17:05,6/22/2017 16:41,America/Los_Angeles,23.6,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,515.38,NA,5,Drought_20170616_dwp.seq,6/21/2017 17:05,6/22/2017 16:41,America/Los_Angeles,23.6,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,577.42,NA,7,Drought_20170616_dwp.seq,6/21/2017 17:05,6/22/2017 16:41,America/Los_Angeles,23.6,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,386.4,NA,8,Drought_20170616_dwp.seq,6/21/2017 17:05,6/22/2017 16:41,America/Los_Angeles,23.6,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,427.87,NA,15,Drought_20170616_dwp.seq,6/21/2017 17:05,6/22/2017 16:41,America/Los_Angeles,23.6,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,519.67,NA,3,Drought_20170616_dwp.seq,6/26/2017 10:01,6/27/2017 9:55,America/Los_Angeles,23.9,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,503.51,NA,5,Drought_20170616_dwp.seq,6/26/2017 10:01,6/27/2017 9:55,America/Los_Angeles,23.9,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,560.07,NA,7,Drought_20170616_dwp.seq,6/26/2017 10:01,6/27/2017 9:55,America/Los_Angeles,23.9,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,381.58,NA,8,Drought_20170616_dwp.seq,6/26/2017 10:01,6/27/2017 9:55,America/Los_Angeles,23.9,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,420.63,NA,15,Drought_20170616_dwp.seq,6/26/2017 10:01,6/27/2017 9:55,America/Los_Angeles,23.9,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,518.45,NA,3,Drought_20170616_dwp.seq,6/28/2017 15:30,6/29/2017 8:21,America/Los_Angeles,16.85,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,501.37,NA,5,Drought_20170616_dwp.seq,6/28/2017 15:30,6/29/2017 8:21,America/Los_Angeles,16.85,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,546,NA,7,Drought_20170616_dwp.seq,6/28/2017 15:30,6/29/2017 8:21,America/Los_Angeles,16.85,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,380.41,NA,8,Drought_20170616_dwp.seq,6/28/2017 15:30,6/29/2017 8:21,America/Los_Angeles,16.85,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,418.87,NA,15,Drought_20170616_dwp.seq,6/28/2017 15:30,6/29/2017 8:21,America/Los_Angeles,16.85,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,516.84,NA,3,Drought_20170616_dwp.seq,6/30/2017 13:39,7/1/2017 13:37,America/Los_Angeles,23.96666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,499.91,NA,5,Drought_20170616_dwp.seq,6/30/2017 13:39,7/1/2017 13:37,America/Los_Angeles,23.96666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,534.63,NA,7,Drought_20170616_dwp.seq,6/30/2017 13:39,7/1/2017 13:37,America/Los_Angeles,23.96666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,379.3,NA,8,Drought_20170616_dwp.seq,6/30/2017 13:39,7/1/2017 13:37,America/Los_Angeles,23.96666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,417.53,NA,15,Drought_20170616_dwp.seq,6/30/2017 13:39,7/1/2017 13:37,America/Los_Angeles,23.96666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,513.11,NA,3,Drought_20170616_dwp.seq,7/5/2017 11:44,7/6/2017 8:19,America/Los_Angeles,20.58333333,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,496.66,NA,5,Drought_20170616_dwp.seq,7/5/2017 11:44,7/6/2017 8:19,America/Los_Angeles,20.58333333,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,489.67,NA,7,Drought_20170616_dwp.seq,7/5/2017 11:44,7/6/2017 8:19,America/Los_Angeles,20.58333333,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,24,drought,D24,376.7,NA,8,Drought_20170616_dwp.seq,7/5/2017 11:44,7/6/2017 8:19,America/Los_Angeles,20.58333333,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,25,drought,D25,413.96,NA,15,Drought_20170616_dwp.seq,7/5/2017 11:44,7/6/2017 8:19,America/Los_Angeles,20.58333333,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,21,drought,D21,510.62,NA,3,Drought_20170616_dwp.seq,7/10/2017 10:12,7/10/2017 15:13,America/Los_Angeles,5.016666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,22,drought,D22,494.34,NA,5,Drought_20170616_dwp.seq,7/10/2017 10:12,7/10/2017 15:13,America/Los_Angeles,5.016666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
DWP,23,drought,D23,478.63,NA,7,Drought_20170616_dwp.seq,7/10/2017 10:12,7/10/2017 15:13,America/Los_Angeles,5.016666667,DROUGHT_PRE_INCUBATION,NA,TRC,NA
