tension,site,treatment,core,aromatic,counts
1.5 kPa,CPCRW,time zero saturation,C10,aliphatic,1
1.5 kPa,CPCRW,time zero saturation,C10,aromatic,1
1.5 kPa,CPCRW,time zero saturation,C6,aliphatic,1
1.5 kPa,CPCRW,time zero saturation,C6,aromatic,1
1.5 kPa,CPCRW,time zero saturation,C7,aliphatic,1
1.5 kPa,CPCRW,time zero saturation,C7,aromatic,1
1.5 kPa,CPCRW,time zero saturation,C8,aliphatic,1
1.5 kPa,CPCRW,time zero saturation,C8,aromatic,1
1.5 kPa,CPCRW,time zero saturation,C9,aliphatic,1
1.5 kPa,CPCRW,time zero saturation,C9,aromatic,1
1.5 kPa,CPCRW,field moist,C16,aliphatic,1
1.5 kPa,CPCRW,field moist,C16,aromatic,1
1.5 kPa,CPCRW,field moist,C17,aliphatic,1
1.5 kPa,CPCRW,field moist,C17,aromatic,1
1.5 kPa,CPCRW,field moist,C18,aliphatic,1
1.5 kPa,CPCRW,field moist,C18,aromatic,1
1.5 kPa,CPCRW,field moist,C19,aliphatic,1
1.5 kPa,CPCRW,field moist,C19,aromatic,1
1.5 kPa,CPCRW,field moist,C20,aliphatic,1
1.5 kPa,CPCRW,field moist,C20,aromatic,1
1.5 kPa,CPCRW,saturation,C11,aliphatic,1
1.5 kPa,CPCRW,saturation,C11,aromatic,1
1.5 kPa,CPCRW,saturation,C12,aliphatic,1
1.5 kPa,CPCRW,saturation,C12,aromatic,1
1.5 kPa,CPCRW,saturation,C13,aliphatic,1
1.5 kPa,CPCRW,saturation,C13,aromatic,1
1.5 kPa,CPCRW,saturation,C14,aliphatic,1
1.5 kPa,CPCRW,saturation,C14,aromatic,1
1.5 kPa,CPCRW,saturation,C15,aliphatic,1
1.5 kPa,CPCRW,saturation,C15,aromatic,1
1.5 kPa,CPCRW,drought,C21,aliphatic,1
1.5 kPa,CPCRW,drought,C21,aromatic,1
1.5 kPa,CPCRW,drought,C22,aliphatic,1
1.5 kPa,CPCRW,drought,C22,aromatic,1
1.5 kPa,CPCRW,drought,C23,aliphatic,1
1.5 kPa,CPCRW,drought,C23,aromatic,1
1.5 kPa,CPCRW,drought,C24,aliphatic,1
1.5 kPa,CPCRW,drought,C24,aromatic,1
1.5 kPa,CPCRW,drought,C25,aliphatic,1
1.5 kPa,CPCRW,drought,C25,aromatic,1
1.5 kPa,DWP,time zero saturation,D10,aliphatic,1
1.5 kPa,DWP,time zero saturation,D10,aromatic,1
1.5 kPa,DWP,time zero saturation,D6,aliphatic,1
1.5 kPa,DWP,time zero saturation,D6,aromatic,1
1.5 kPa,DWP,time zero saturation,D7,aliphatic,1
1.5 kPa,DWP,time zero saturation,D7,aromatic,1
1.5 kPa,DWP,time zero saturation,D8,aliphatic,1
1.5 kPa,DWP,time zero saturation,D8,aromatic,1
1.5 kPa,DWP,time zero saturation,D9,aliphatic,1
1.5 kPa,DWP,time zero saturation,D9,aromatic,1
1.5 kPa,DWP,field moist,D17,aliphatic,1
1.5 kPa,DWP,field moist,D17,aromatic,1
1.5 kPa,DWP,field moist,D18,aliphatic,1
1.5 kPa,DWP,field moist,D18,aromatic,1
1.5 kPa,DWP,field moist,D19,aliphatic,1
1.5 kPa,DWP,field moist,D19,aromatic,1
1.5 kPa,DWP,field moist,D20,aliphatic,1
1.5 kPa,DWP,field moist,D20,aromatic,1
1.5 kPa,DWP,saturation,D11,aliphatic,1
1.5 kPa,DWP,saturation,D11,aromatic,1
1.5 kPa,DWP,saturation,D12,aliphatic,1
1.5 kPa,DWP,saturation,D12,aromatic,1
1.5 kPa,DWP,saturation,D13,aliphatic,1
1.5 kPa,DWP,saturation,D13,aromatic,1
1.5 kPa,DWP,saturation,D14,aliphatic,1
1.5 kPa,DWP,saturation,D14,aromatic,1
1.5 kPa,DWP,saturation,D15,aliphatic,1
1.5 kPa,DWP,saturation,D15,aromatic,1
1.5 kPa,DWP,drought,D21,aliphatic,1
1.5 kPa,DWP,drought,D21,aromatic,1
1.5 kPa,DWP,drought,D22,aliphatic,1
1.5 kPa,DWP,drought,D22,aromatic,1
1.5 kPa,DWP,drought,D23,aliphatic,1
1.5 kPa,DWP,drought,D23,aromatic,1
1.5 kPa,DWP,drought,D24,aliphatic,1
1.5 kPa,DWP,drought,D24,aromatic,1
1.5 kPa,DWP,drought,D25,aliphatic,1
1.5 kPa,DWP,drought,D25,aromatic,1
1.5 kPa,SR,time zero saturation,S16,aliphatic,1
1.5 kPa,SR,time zero saturation,S16,aromatic,1
1.5 kPa,SR,time zero saturation,S17,aliphatic,1
1.5 kPa,SR,time zero saturation,S17,aromatic,1
1.5 kPa,SR,time zero saturation,S23,aliphatic,1
1.5 kPa,SR,time zero saturation,S23,aromatic,1
1.5 kPa,SR,time zero saturation,S9,aliphatic,1
1.5 kPa,SR,time zero saturation,S9,aromatic,1
1.5 kPa,SR,field moist,S1,aliphatic,1
1.5 kPa,SR,field moist,S1,aromatic,1
1.5 kPa,SR,field moist,S13,aliphatic,1
1.5 kPa,SR,field moist,S13,aromatic,1
1.5 kPa,SR,field moist,S15,aliphatic,1
1.5 kPa,SR,field moist,S15,aromatic,1
1.5 kPa,SR,field moist,S19,aliphatic,1
1.5 kPa,SR,field moist,S19,aromatic,1
1.5 kPa,SR,field moist,S21,aliphatic,1
1.5 kPa,SR,field moist,S21,aromatic,1
1.5 kPa,SR,saturation,S18,aliphatic,1
1.5 kPa,SR,saturation,S18,aromatic,1
1.5 kPa,SR,saturation,S2,aliphatic,1
1.5 kPa,SR,saturation,S2,aromatic,1
1.5 kPa,SR,saturation,S3,aliphatic,1
1.5 kPa,SR,saturation,S3,aromatic,1
1.5 kPa,SR,saturation,S7,aliphatic,1
1.5 kPa,SR,saturation,S7,aromatic,1
1.5 kPa,SR,drought,S10,aliphatic,1
1.5 kPa,SR,drought,S10,aromatic,1
1.5 kPa,SR,drought,S14,aliphatic,1
1.5 kPa,SR,drought,S14,aromatic,1
1.5 kPa,SR,drought,S25,aliphatic,1
1.5 kPa,SR,drought,S25,aromatic,1
1.5 kPa,SR,drought,S4,aliphatic,1
1.5 kPa,SR,drought,S4,aromatic,1
1.5 kPa,SR,drought,S5,aliphatic,1
1.5 kPa,SR,drought,S5,aromatic,1
50 kPa,CPCRW,time zero saturation,C10,aliphatic,1
50 kPa,CPCRW,time zero saturation,C10,aromatic,1
50 kPa,CPCRW,time zero saturation,C6,aliphatic,1
50 kPa,CPCRW,time zero saturation,C6,aromatic,1
50 kPa,CPCRW,time zero saturation,C7,aliphatic,1
50 kPa,CPCRW,time zero saturation,C7,aromatic,1
50 kPa,CPCRW,time zero saturation,C8,aliphatic,1
50 kPa,CPCRW,time zero saturation,C8,aromatic,1
50 kPa,CPCRW,time zero saturation,C9,aliphatic,1
50 kPa,CPCRW,time zero saturation,C9,aromatic,1
50 kPa,CPCRW,field moist,C16,aliphatic,1
50 kPa,CPCRW,field moist,C16,aromatic,1
50 kPa,CPCRW,field moist,C17,aliphatic,1
50 kPa,CPCRW,field moist,C17,aromatic,1
50 kPa,CPCRW,field moist,C20,aliphatic,1
50 kPa,CPCRW,field moist,C20,aromatic,1
50 kPa,CPCRW,saturation,C11,aliphatic,1
50 kPa,CPCRW,saturation,C11,aromatic,1
50 kPa,CPCRW,saturation,C12,aliphatic,1
50 kPa,CPCRW,saturation,C12,aromatic,1
50 kPa,CPCRW,saturation,C13,aliphatic,1
50 kPa,CPCRW,saturation,C13,aromatic,1
50 kPa,CPCRW,saturation,C14,aliphatic,1
50 kPa,CPCRW,saturation,C14,aromatic,1
50 kPa,CPCRW,drought,C21,aliphatic,1
50 kPa,CPCRW,drought,C21,aromatic,1
50 kPa,CPCRW,drought,C22,aliphatic,1
50 kPa,CPCRW,drought,C22,aromatic,1
50 kPa,CPCRW,drought,C23,aliphatic,1
50 kPa,CPCRW,drought,C23,aromatic,1
50 kPa,CPCRW,drought,C24,aliphatic,1
50 kPa,CPCRW,drought,C24,aromatic,1
50 kPa,CPCRW,drought,C25,aliphatic,1
50 kPa,CPCRW,drought,C25,aromatic,1
50 kPa,DWP,time zero saturation,D6,aliphatic,1
50 kPa,DWP,time zero saturation,D6,aromatic,1
50 kPa,DWP,time zero saturation,D7,aliphatic,1
50 kPa,DWP,time zero saturation,D7,aromatic,1
50 kPa,DWP,time zero saturation,D8,aliphatic,1
50 kPa,DWP,time zero saturation,D8,aromatic,1
50 kPa,DWP,time zero saturation,D9,aliphatic,1
50 kPa,DWP,time zero saturation,D9,aromatic,1
50 kPa,DWP,field moist,D17,aliphatic,1
50 kPa,DWP,field moist,D17,aromatic,1
50 kPa,DWP,field moist,D19,aliphatic,1
50 kPa,DWP,field moist,D19,aromatic,1
50 kPa,DWP,field moist,D20,aliphatic,1
50 kPa,DWP,field moist,D20,aromatic,1
50 kPa,DWP,saturation,D11,aliphatic,1
50 kPa,DWP,saturation,D11,aromatic,1
50 kPa,DWP,saturation,D12,aliphatic,1
50 kPa,DWP,saturation,D12,aromatic,1
50 kPa,DWP,saturation,D13,aliphatic,1
50 kPa,DWP,saturation,D13,aromatic,1
50 kPa,DWP,saturation,D14,aliphatic,1
50 kPa,DWP,saturation,D14,aromatic,1
50 kPa,DWP,saturation,D15,aliphatic,1
50 kPa,DWP,saturation,D15,aromatic,1
50 kPa,DWP,drought,D22,aliphatic,1
50 kPa,DWP,drought,D22,aromatic,1
50 kPa,DWP,drought,D23,aliphatic,1
50 kPa,DWP,drought,D23,aromatic,1
50 kPa,DWP,drought,D24,aliphatic,1
50 kPa,DWP,drought,D24,aromatic,1
50 kPa,DWP,drought,D25,aliphatic,1
50 kPa,DWP,drought,D25,aromatic,1
50 kPa,SR,time zero saturation,S11,aliphatic,1
50 kPa,SR,time zero saturation,S11,aromatic,1
50 kPa,SR,time zero saturation,S16,aliphatic,1
50 kPa,SR,time zero saturation,S16,aromatic,1
50 kPa,SR,time zero saturation,S17,aliphatic,1
50 kPa,SR,time zero saturation,S17,aromatic,1
50 kPa,SR,time zero saturation,S23,aliphatic,1
50 kPa,SR,time zero saturation,S23,aromatic,1
50 kPa,SR,time zero saturation,S9,aliphatic,1
50 kPa,SR,time zero saturation,S9,aromatic,1
50 kPa,SR,field moist,S1,aliphatic,1
50 kPa,SR,field moist,S1,aromatic,1
50 kPa,SR,field moist,S13,aliphatic,1
50 kPa,SR,field moist,S13,aromatic,1
50 kPa,SR,field moist,S15,aliphatic,1
50 kPa,SR,field moist,S15,aromatic,1
50 kPa,SR,field moist,S19,aliphatic,1
50 kPa,SR,field moist,S19,aromatic,1
50 kPa,SR,field moist,S21,aliphatic,1
50 kPa,SR,field moist,S21,aromatic,1
50 kPa,SR,saturation,S18,aliphatic,1
50 kPa,SR,saturation,S18,aromatic,1
50 kPa,SR,saturation,S2,aliphatic,1
50 kPa,SR,saturation,S2,aromatic,1
50 kPa,SR,saturation,S24,aliphatic,1
50 kPa,SR,saturation,S24,aromatic,1
50 kPa,SR,saturation,S3,aliphatic,1
50 kPa,SR,saturation,S3,aromatic,1
50 kPa,SR,drought,S10,aliphatic,1
50 kPa,SR,drought,S10,aromatic,1
50 kPa,SR,drought,S14,aliphatic,1
50 kPa,SR,drought,S14,aromatic,1
50 kPa,SR,drought,S25,aliphatic,1
50 kPa,SR,drought,S25,aromatic,1
50 kPa,SR,drought,S5,aliphatic,1
50 kPa,SR,drought,S5,aromatic,1
