site,treatment,tension,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,UnsatHC,Other,total
CPCRW,drought,1.5 kPa,4.3 ± 0.52,13.15 ± 2.28,1.02 ± 0.23,47.39 ± 6.34,12.44 ± 5.18,16.57 ± 1.96,2.28 ± 0.57,0.15 ± 0.05,2.71 ± 1.85,100
CPCRW,drought,50 kPa,4.35 ± 0.66,10.91 ± 2.17,1.37 ± 0.34,56.09 ± 2.88,7.07 ± 1.09,16.11 ± 1.74,3.37 ± 0.46,0.1 ± 0.03,0.63 ± 0.17,100
CPCRW,field moist,1.5 kPa,0.33 ± 0.05,0.4 ± 0.08,2.26 ± 0.21,58.67 ± 9.42,24.17 ± 8.26,11.57 ± 1.44,1.85 ± 0.21,0.65 ± 0.09,0.1 ± 0.03,100
CPCRW,field moist,50 kPa,0.2 ± 0,0.31 ± 0.01,2.58 ± 0.51,82.96 ± 1.55,5.52 ± 2.18,3.97 ± 0.08,3.93 ± 0.92,0.36 ± 0.04,0.16 ± 0.02,100
CPCRW,saturation,1.5 kPa,0.54 ± 0.1,0.46 ± 0.05,1.36 ± 0.42,52.55 ± 3.27,24.29 ± 2.66,18.95 ± 2.03,1.04 ± 0.21,0.68 ± 0.18,0.13 ± 0.02,100
CPCRW,saturation,50 kPa,0.53 ± 0.06,0.9 ± 0.25,2.5 ± 0.45,69.89 ± 1.46,9.61 ± 1.49,12.8 ± 0.71,3.14 ± 0.6,0.59 ± 0.44,0.04 ± 0,100
CPCRW,time zero saturation,1.5 kPa,0.82 ± 0.12,0.36 ± 0.05,2.55 ± 0.68,49.34 ± 5.81,24.23 ± 4.1,19.93 ± 2.86,1.75 ± 0.27,0.96 ± 0.21,0.07 ± 0.02,100
CPCRW,time zero saturation,50 kPa,0.37 ± 0.02,0.42 ± 0.05,4.14 ± 1.04,75.73 ± 2.43,8.66 ± 1.76,7 ± 0.8,2.88 ± 0.43,0.66 ± 0.32,0.13 ± 0.04,100
DWP,drought,1.5 kPa,1.03 ± 0.16,8.32 ± 1.22,2.3 ± 0.29,43.38 ± 4.12,21.63 ± 3.13,20.41 ± 2.14,0.44 ± 0.1,1.57 ± 1.11,0.9 ± 0.12,100
DWP,drought,50 kPa,1.38 ± 0.38,4.06 ± 1.1,2.35 ± 0.33,55.56 ± 2.55,11.53 ± 1.44,22.26 ± 2,1.52 ± 0.21,0.76 ± 0.32,0.58 ± 0.08,100
