tension,site,group,treatment,N,relabund,sd,se,ci,relativeabundance,hsd
1.5 kPa,CPCRW,AminoSugar,drought,5,4.302440350013436,1.1550002983714591,0.5165318362382244,1.4341222884024463,4.3 ± 0.52   a,a
1.5 kPa,CPCRW,AminoSugar,field moist,5,0.3338085599989627,0.11379792681576095,0.05089198001171753,0.14129878879735708,0.33 ± 0.05   b,b
1.5 kPa,CPCRW,AminoSugar,saturation,5,0.5350198558995671,0.21825358306379328,0.09760596961270772,0.2709976165692869,0.54 ± 0.1   b,b
1.5 kPa,CPCRW,AminoSugar,time zero saturation,5,0.8164245885358025,0.26060274891101126,0.11654509233766609,0.3235810511557379,0.82 ± 0.12   b,b
1.5 kPa,CPCRW,Carb,drought,5,13.145649997891844,5.109311489162341,2.2849535615975345,6.344048131701739,13.15 ± 2.28   a,a
1.5 kPa,CPCRW,Carb,field moist,5,0.4008430345307891,0.17579077651175834,0.07861602521955299,0.21827307841093418,0.4 ± 0.08   b,b
1.5 kPa,CPCRW,Carb,saturation,5,0.45893448483529253,0.1144461491241262,0.05118187384092484,0.14210366310048675,0.46 ± 0.05   b,b
1.5 kPa,CPCRW,Carb,time zero saturation,5,0.3563235586861342,0.10766423601179785,0.048148910093592165,0.1336828057499626,0.36 ± 0.05   b,b
1.5 kPa,CPCRW,ConHC,drought,5,1.0236080613543526,0.5034543607948572,0.22515163486120113,0.6251211545376627,1.02 ± 0.23   a,a
1.5 kPa,CPCRW,ConHC,field moist,5,2.2603770599267583,0.46888975178030456,0.2096938717867528,0.5822035239123035,2.26 ± 0.21   a,a
1.5 kPa,CPCRW,ConHC,saturation,5,1.3610840003907305,0.9461087235852207,0.4231126840084224,1.174749140462285,1.36 ± 0.42   a,a
1.5 kPa,CPCRW,ConHC,time zero saturation,5,2.554145920625126,1.5263661417316028,0.6826116902931885,1.8952338862653153,2.55 ± 0.68   a,a
1.5 kPa,CPCRW,Lignin,drought,5,47.389005725188284,14.185139970818938,6.343787449020105,17.613177611247067,47.39 ± 6.34   a,a
1.5 kPa,CPCRW,Lignin,field moist,5,58.66842454491181,21.05705952226262,9.417003299607693,26.14579271682725,58.67 ± 9.42   a,a
1.5 kPa,CPCRW,Lignin,saturation,5,52.554427869891114,7.312542826105338,3.2702685695099913,9.079721162498206,52.55 ± 3.27   a,a
1.5 kPa,CPCRW,Lignin,time zero saturation,5,49.344305751215636,13.000666648731126,5.814074875875435,16.14245973037782,49.34 ± 5.81   a,a
1.5 kPa,CPCRW,Lipid,drought,5,12.435192862073993,11.583149802854544,5.180142070549209,14.382380096005514,12.44 ± 5.18   a,a
1.5 kPa,CPCRW,Lipid,field moist,5,24.16730477333467,18.480347258970532,8.264662543772003,22.94638186576732,24.17 ± 8.26   a,a
1.5 kPa,CPCRW,Lipid,saturation,5,24.293228668638125,5.958838565104844,2.6648736197043474,7.398875317398861,24.29 ± 2.66   a,a
1.5 kPa,CPCRW,Lipid,time zero saturation,5,24.227255744213696,9.163945725058644,4.0982411166699455,11.378541488298609,24.23 ± 4.1   a,a
1.5 kPa,CPCRW,Other,drought,5,2.708266480304391,4.147602047994034,1.8548640245864008,5.149928141870392,2.71 ± 1.85   a,a
1.5 kPa,CPCRW,Other,field moist,5,0.09505547463705036,0.07432286408028903,0.03323819527320073,0.0922840245718866,0.1 ± 0.03   a,a
1.5 kPa,CPCRW,Other,saturation,5,0.12802254650209802,0.04977117643357359,0.022258346765121215,0.06179907792581594,0.13 ± 0.02   a,a
1.5 kPa,CPCRW,Other,time zero saturation,5,0.06795870716494752,0.041793385717813034,0.018690570294979756,0.05189334240885182,0.07 ± 0.02   a,a
1.5 kPa,CPCRW,Protein,drought,5,16.565276159298687,4.38884433997787,1.9627508573711427,5.449470010670882,16.57 ± 1.96   a,a
1.5 kPa,CPCRW,Protein,field moist,5,11.571565911636938,3.2291849900219596,1.4441354299222162,4.009562745650248,11.57 ± 1.44   a,a
1.5 kPa,CPCRW,Protein,saturation,5,18.95004193416148,4.528978593149221,2.025420800584604,5.623469667748919,18.95 ± 2.03   a,a
1.5 kPa,CPCRW,Protein,time zero saturation,5,19.927400945700228,6.395079699712511,2.859966586017223,7.940540228776763,19.93 ± 2.86   a,a
1.5 kPa,CPCRW,Tannin,drought,5,2.2802393725374075,1.2719110665057118,0.5688159212082055,1.5792861801970957,2.28 ± 0.57   a,a
1.5 kPa,CPCRW,Tannin,field moist,5,1.8492988859560042,0.46196681076075574,0.20659783844196622,0.5736075572866416,1.85 ± 0.21   a,a
1.5 kPa,CPCRW,Tannin,saturation,5,1.0407691980542804,0.4791760656163164,0.21429405118179662,0.5949756694767047,1.04 ± 0.21   a,a
1.5 kPa,CPCRW,Tannin,time zero saturation,5,1.74619826050175,0.6035316187360342,0.26990754521285165,0.749383482762174,1.75 ± 0.27   a,a
1.5 kPa,CPCRW,UnsatHC,drought,5,0.15032099133760451,0.10645885395980302,0.047609846852168444,0.13218612625191964,0.15 ± 0.05   b,b
1.5 kPa,CPCRW,UnsatHC,field moist,5,0.6533217550670126,0.21113283587063073,0.09442147465780726,0.26215604113922647,0.65 ± 0.09   ab,ab
1.5 kPa,CPCRW,UnsatHC,saturation,5,0.6784714416273154,0.4009542913099113,0.17931221024784297,0.4978505084448212,0.68 ± 0.18   ab,ab
1.5 kPa,CPCRW,UnsatHC,time zero saturation,5,0.9599865233566811,0.4719462275271747,0.211060769295069,0.585998639808575,0.96 ± 0.21   a,a
1.5 kPa,DWP,AminoSugar,drought,5,1.0251527484176675,0.363494394258816,0.16255963500056436,0.4513379029000568,1.03 ± 0.16   b,b
1.5 kPa,DWP,AminoSugar,field moist,4,0.6561254324037399,0.2112748729860394,0.1056374364930197,0.33618546946685285,0.66 ± 0.11   b,b
1.5 kPa,DWP,AminoSugar,saturation,5,0.275012019977039,0.22441596656229995,0.10036187129392449,0.2786492263025076,0.28 ± 0.1   b,b
