tension,site,unique,Class,peaks_count
1.5 kPa,CPCRW,drought,AminoSugar,118
1.5 kPa,CPCRW,saturation,AminoSugar,3
1.5 kPa,DWP,drought,AminoSugar,7
1.5 kPa,DWP,field_moist,AminoSugar,7
1.5 kPa,SR,field_moist,AminoSugar,14
1.5 kPa,SR,saturation,AminoSugar,3
50 kPa,CPCRW,drought,AminoSugar,217
50 kPa,CPCRW,saturation,AminoSugar,2
50 kPa,DWP,drought,AminoSugar,5
50 kPa,DWP,field_moist,AminoSugar,2
50 kPa,DWP,saturation,AminoSugar,3
50 kPa,SR,field_moist,AminoSugar,11
50 kPa,SR,saturation,AminoSugar,23
1.5 kPa,CPCRW,drought,Carb,177
1.5 kPa,CPCRW,field_moist,Carb,4
1.5 kPa,CPCRW,saturation,Carb,3
1.5 kPa,DWP,drought,Carb,6
1.5 kPa,DWP,field_moist,Carb,3
1.5 kPa,SR,field_moist,Carb,16
1.5 kPa,SR,saturation,Carb,1
50 kPa,CPCRW,drought,Carb,240
50 kPa,CPCRW,field_moist,Carb,1
50 kPa,DWP,drought,Carb,8
50 kPa,SR,drought,Carb,2
50 kPa,SR,field_moist,Carb,10
50 kPa,SR,saturation,Carb,1
1.5 kPa,CPCRW,drought,ConHC,6
1.5 kPa,CPCRW,field_moist,ConHC,3
1.5 kPa,CPCRW,saturation,ConHC,3
1.5 kPa,DWP,drought,ConHC,4
1.5 kPa,DWP,field_moist,ConHC,29
1.5 kPa,DWP,saturation,ConHC,27
1.5 kPa,SR,drought,ConHC,8
1.5 kPa,SR,field_moist,ConHC,10
1.5 kPa,SR,saturation,ConHC,8
50 kPa,CPCRW,drought,ConHC,6
50 kPa,CPCRW,field_moist,ConHC,4
50 kPa,CPCRW,saturation,ConHC,4
50 kPa,DWP,drought,ConHC,6
50 kPa,DWP,field_moist,ConHC,5
50 kPa,DWP,saturation,ConHC,57
50 kPa,SR,saturation,ConHC,4
1.5 kPa,CPCRW,drought,Lignin,71
1.5 kPa,CPCRW,field_moist,Lignin,102
