"MolForm","tension","site","Mass","HC","OC","Class","drought2","fm2","saturation2","unique"
"C10H10O5","1.5 kPa","CPCRW",209.0455722,1,0.5,"Lignin","lost",NA,"lost",NA
"C10H10O5","1.5 kPa","DWP",209.0455722,1,0.5,"Lignin",NA,"new",NA,"field moist"
"C10H10O5","50 kPa","CPCRW",209.0455722,1,0.5,"Lignin",NA,NA,NA,NA
"C10H10O5","50 kPa","DWP",209.0455722,1,0.5,"Lignin","new","new","new",NA
"C10H10O6","1.5 kPa","CPCRW",225.0404753,1,0.6,"Lignin",NA,NA,NA,NA
"C10H10O6","1.5 kPa","DWP",225.0404753,1,0.6,"Lignin",NA,"new",NA,"field moist"
"C10H10O6","1.5 kPa","SR",225.0404753,1,0.6,"Lignin","new",NA,NA,"drought"
"C10H10O6","50 kPa","CPCRW",225.0404753,1,0.6,"Lignin",NA,NA,NA,NA
"C10H10O6","50 kPa","DWP",225.0404753,1,0.6,"Lignin",NA,"lost",NA,NA
"C10H10O7","1.5 kPa","CPCRW",241.0353881,1,0.7,"Tannin",NA,NA,NA,NA
"C10H10O7","1.5 kPa","DWP",241.0353881,1,0.7,"Tannin",NA,"new",NA,"field moist"
"C10H10O7","50 kPa","CPCRW",241.0353881,1,0.7,"Tannin",NA,NA,NA,NA
"C10H10O7","50 kPa","DWP",241.0353881,1,0.7,"Tannin",NA,NA,"new","saturation"
"C10H10O8","50 kPa","CPCRW",257.030301,1,0.8,"Tannin",NA,"lost","lost",NA
"C10H12N2O5","1.5 kPa","SR",239.0673517,1.2,0.5,"Lignin","lost","lost","lost",NA
"C10H12N2O5","50 kPa","SR",239.0673517,1.2,0.5,"Lignin","lost",NA,"lost",NA
"C10H12N2O6","1.5 kPa","CPCRW",255.0622701,1.2,0.6,"Lignin","new",NA,NA,"drought"
"C10H12N2O6","1.5 kPa","DWP",255.0622701,1.2,0.6,"Lignin","lost","lost","lost",NA
"C10H12N2O6","1.5 kPa","SR",255.0622701,1.2,0.6,"Lignin","new",NA,NA,"drought"
"C10H12N2O6","50 kPa","CPCRW",255.0622701,1.2,0.6,"Lignin","new",NA,NA,"drought"
"C10H12N2O6","50 kPa","DWP",255.0622701,1.2,0.6,"Lignin","lost","lost","lost",NA
"C10H12O5","1.5 kPa","CPCRW",211.061218,1.2,0.5,"Lignin","lost",NA,NA,NA
"C10H12O5","1.5 kPa","DWP",211.061218,1.2,0.5,"Lignin",NA,"new",NA,"field moist"
"C10H12O5","50 kPa","CPCRW",211.061218,1.2,0.5,"Lignin",NA,NA,NA,NA
"C10H12O5","50 kPa","DWP",211.061218,1.2,0.5,"Lignin",NA,"lost","lost",NA
"C10H12O5S","1.5 kPa","SR",243.0332716,1.2,0.5,"Lignin","lost","lost","lost",NA
"C10H12O5S","50 kPa","SR",243.0332716,1.2,0.5,"Lignin","new",NA,NA,"drought"
"C10H12O6","1.5 kPa","CPCRW",227.0561182,1.2,0.6,"Lignin",NA,NA,NA,NA
"C10H12O6","1.5 kPa","DWP",227.0561182,1.2,0.6,"Lignin",NA,"new",NA,"field moist"
"C10H12O6","50 kPa","CPCRW",227.0561182,1.2,0.6,"Lignin",NA,NA,NA,NA
"C10H12O6","50 kPa","DWP",227.0561182,1.2,0.6,"Lignin",NA,NA,"new","saturation"
"C10H12O7","1.5 kPa","CPCRW",243.0510317,1.2,0.7,"Tannin","new","new","new",NA
"C10H12O7","1.5 kPa","CPCRW",256.0543746,1.2,0.7,"Lignin","new","new","new",NA
"C10H12O7","1.5 kPa","DWP",243.0510317,1.2,0.7,"Tannin",NA,"new",NA,"field moist"
"C10H12O7","1.5 kPa","DWP",256.0543746,1.2,0.7,"Lignin",NA,"new",NA,"field moist"
"C10H12O7","50 kPa","CPCRW",243.0510317,1.2,0.7,"Tannin",NA,"lost",NA,NA
"C10H12O7","50 kPa","CPCRW",256.0543746,1.2,0.7,"Lignin",NA,"lost",NA,NA
"C10H12O8","50 kPa","CPCRW",259.0459418,1.2,0.8,"Tannin","new",NA,"new",NA
"C10H12O8","50 kPa","CPCRW",272.0492907,1.2,0.8,"Tannin","new",NA,"new",NA
"C10H12O8","50 kPa","DWP",259.0459418,1.2,0.8,"Tannin",NA,NA,"new","saturation"
"C10H12O8","50 kPa","DWP",272.0492907,1.2,0.8,"Tannin",NA,NA,"new","saturation"
"C10H12O9","50 kPa","CPCRW",275.0408626,1.2,0.9,"Tannin",NA,NA,"new","saturation"
"C10H12O9","50 kPa","CPCRW",288.0442296,1.2,0.9,"Tannin",NA,NA,"new","saturation"
"C10H14O5","1.5 kPa","CPCRW",213.0768614,1.4,0.5,"Lignin","new","new","new",NA
"C10H14O5","1.5 kPa","DWP",213.0768614,1.4,0.5,"Lignin",NA,"new",NA,"field moist"
"C10H14O5","50 kPa","CPCRW",213.0768614,1.4,0.5,"Lignin",NA,"lost",NA,NA
"C10H14O5","50 kPa","DWP",213.0768614,1.4,0.5,"Lignin","new","new","new",NA
