"site","treatment","Class","peaks_count"
"Alaska","baseline","AminoSugar",495
"Alaska","drought","AminoSugar",431
"Alaska","field moist","AminoSugar",523
"Alaska","flood","AminoSugar",587
"Alaska","time zero saturation","AminoSugar",540
"Florida","baseline","AminoSugar",742
"Florida","drought","AminoSugar",435
"Florida","field moist","AminoSugar",291
"Florida","flood","AminoSugar",448
"Florida","time zero saturation","AminoSugar",615
"Washington","baseline","AminoSugar",247
"Washington","drought","AminoSugar",552
"Washington","field moist","AminoSugar",625
"Washington","flood","AminoSugar",607
"Washington","time zero saturation","AminoSugar",427
"Alaska","baseline","Carb",554
"Alaska","drought","Carb",472
"Alaska","field moist","Carb",603
"Alaska","flood","Carb",675
"Alaska","time zero saturation","Carb",655
"Florida","baseline","Carb",994
"Florida","drought","Carb",476
"Florida","field moist","Carb",369
"Florida","flood","Carb",589
"Florida","time zero saturation","Carb",774
"Washington","baseline","Carb",373
"Washington","drought","Carb",631
"Washington","field moist","Carb",776
"Washington","flood","Carb",755
"Washington","time zero saturation","Carb",495
"Alaska","baseline","ConHC",1358
"Alaska","drought","ConHC",1684
"Alaska","field moist","ConHC",1711
"Alaska","flood","ConHC",1379
"Alaska","time zero saturation","ConHC",1376
"Florida","baseline","ConHC",1272
"Florida","drought","ConHC",1649
"Florida","field moist","ConHC",923
"Florida","flood","ConHC",1787
"Florida","time zero saturation","ConHC",1839
"Washington","baseline","ConHC",1368
"Washington","drought","ConHC",2000
"Washington","field moist","ConHC",1503
"Washington","flood","ConHC",1621
"Washington","time zero saturation","ConHC",1737
"Alaska","baseline","Lignin",3032
"Alaska","drought","Lignin",3414
"Alaska","field moist","Lignin",3596
"Alaska","flood","Lignin",3237
"Alaska","time zero saturation","Lignin",3156
"Florida","baseline","Lignin",3215
"Florida","drought","Lignin",3088
"Florida","field moist","Lignin",1868
"Florida","flood","Lignin",3191
"Florida","time zero saturation","Lignin",3551
"Washington","baseline","Lignin",2111
"Washington","drought","Lignin",3758
"Washington","field moist","Lignin",3702
"Washington","flood","Lignin",3651
"Washington","time zero saturation","Lignin",2951
"Alaska","baseline","Lipid",914
"Alaska","drought","Lipid",1056
"Alaska","field moist","Lipid",1304
"Alaska","flood","Lipid",1353
"Alaska","time zero saturation","Lipid",1226
"Florida","baseline","Lipid",990
"Florida","drought","Lipid",1462
"Florida","field moist","Lipid",841
"Florida","flood","Lipid",1555
"Florida","time zero saturation","Lipid",1447
"Washington","baseline","Lipid",835
"Washington","drought","Lipid",1220
"Washington","field moist","Lipid",1546
"Washington","flood","Lipid",1505
"Washington","time zero saturation","Lipid",1316
"Alaska","baseline","Protein",1313
"Alaska","drought","Protein",1366
"Alaska","field moist","Protein",1528
"Alaska","flood","Protein",1627
"Alaska","time zero saturation","Protein",1527
"Florida","baseline","Protein",1480
"Florida","drought","Protein",1653
"Florida","field moist","Protein",982
"Florida","flood","Protein",1458
"Florida","time zero saturation","Protein",1615
"Washington","baseline","Protein",836
"Washington","drought","Protein",1618
"Washington","field moist","Protein",1725
"Washington","flood","Protein",1782
"Washington","time zero saturation","Protein",1406
"Alaska","baseline","Tannin",587
"Alaska","drought","Tannin",603
"Alaska","field moist","Tannin",598
"Alaska","flood","Tannin",585
"Alaska","time zero saturation","Tannin",563
"Florida","baseline","Tannin",706
"Florida","drought","Tannin",425
"Florida","field moist","Tannin",259
"Florida","flood","Tannin",523
"Florida","time zero saturation","Tannin",596
"Washington","baseline","Tannin",362
"Washington","drought","Tannin",607
"Washington","field moist","Tannin",536
"Washington","flood","Tannin",547
"Washington","time zero saturation","Tannin",510
"Alaska","baseline","Unnamed",385
"Alaska","drought","Unnamed",428
"Alaska","field moist","Unnamed",463
"Alaska","flood","Unnamed",436
"Alaska","time zero saturation","Unnamed",391
"Florida","baseline","Unnamed",406
"Florida","drought","Unnamed",415
"Florida","field moist","Unnamed",223
"Florida","flood","Unnamed",454
"Florida","time zero saturation","Unnamed",486
"Washington","baseline","Unnamed",252
"Washington","drought","Unnamed",504
"Washington","field moist","Unnamed",448
"Washington","flood","Unnamed",461
"Washington","time zero saturation","Unnamed",481
"Alaska","baseline","UnsatHC",427
"Alaska","drought","UnsatHC",608
"Alaska","field moist","UnsatHC",618
"Alaska","flood","UnsatHC",577
"Alaska","time zero saturation","UnsatHC",544
"Florida","baseline","UnsatHC",461
"Florida","drought","UnsatHC",632
"Florida","field moist","UnsatHC",308
"Florida","flood","UnsatHC",716
"Florida","time zero saturation","UnsatHC",683
"Washington","baseline","UnsatHC",410
"Washington","drought","UnsatHC",651
"Washington","field moist","UnsatHC",767
"Washington","flood","UnsatHC",770
"Washington","time zero saturation","UnsatHC",687
"Alaska","baseline","total",9065
"Alaska","drought","total",10062
"Alaska","field moist","total",10944
"Alaska","flood","total",10456
"Alaska","time zero saturation","total",9978
"Florida","baseline","total",10266
"Florida","drought","total",10235
"Florida","field moist","total",6064
"Florida","flood","total",10721
"Florida","time zero saturation","total",11606
"Washington","baseline","total",6794
"Washington","drought","total",11541
"Washington","field moist","total",11628
"Washington","flood","total",11699
"Washington","time zero saturation","total",10010
