site,treatment,core,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,Unnamed,UnsatHC,total
CPCRW,baseline,C1,2.504235342104884,8.431815563910847,5.9463146915048615,36.8835873395455,29.876539185788516,9.809099100636132,4.202015302215777,1.7555419428331285,0.5908515314603587,100
CPCRW,baseline,C2,3.1428453776929444,15.21141690750744,7.686985194027419,35.10098751616051,18.888329772464825,12.128555869727087,4.4411982322159735,2.7881024120010625,0.611578718202744,100
CPCRW,baseline,C3,3.6758308275004774,12.223755538762125,6.003475942270585,38.72283675933185,18.29320948175818,11.974950576855473,6.489471365630991,1.6977352799800733,0.9187342279102347,99.99999999999999
CPCRW,baseline,C4,2.303135775822404,4.757806447608576,3.569931956691317,34.86812849622699,33.98778327553774,14.842701847212501,3.9452642880783038,1.1926135746822177,0.532634338139952,100
CPCRW,baseline,C5,1.8354729160010117,13.454428764906385,9.023740769242165,35.60733364502538,22.224188951373716,9.197304863716765,4.881179900565439,2.9638660337517773,0.8124841554173619,100
CPCRW,drought,C21,1.4962513045546704,4.222007310334522,9.643210706231642,51.30112115065009,12.179113493629428,13.51210900752223,5.6546127442711125,0.9401637145682203,1.0514105682380768,100
CPCRW,drought,C22,1.0857834360562062,3.073276060952095,10.848002485987264,60.569918585771525,6.501544590505379,9.346980244788892,6.482897635549985,1.3557569644938403,0.735839995894821,100
CPCRW,drought,C23,1.5625471135868199,2.1435815924556905,7.090549381526089,65.61425419748316,4.901408834752912,10.198308486953492,6.739282223647469,0.9765085650103115,0.7735596045840591,100
CPCRW,drought,C24,1.4405389112525866,3.881315598645975,9.736143593139747,55.061063340983345,11.610247262272688,10.689106539964927,5.387177197392249,1.1438105648408303,1.0505969915076596,100
CPCRW,drought,C25,1.7971920068162752,7.544271909871223,4.108425737805085,48.29346411910406,15.369797978244122,15.807186631659706,5.329695829666216,1.165625109032124,0.5843406778011923,100
CPCRW,field moist,C16,1.7906943892988318,3.6894719175095188,5.658430515265529,63.20158541294719,7.97310424836919,9.360897064853154,6.291583510648381,1.2845200238667636,0.749712917241451,100.00000000000001
