site,treatment,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,UnsatHC,Unnamed,total
CPCRW,baseline,2.692 ± 0.323,10.816 ± 1.879,6.446 ± 0.919,36.237 ± 0.713,24.654 ± 3.114,11.591 ± 0.998,4.792 ± 0.452,0.693 ± 0.073,2.08 ± 0.341,100
CPCRW,drought,1.476 ± 0.115,4.173 ± 0.916,8.285 ± 1.212,56.168 ± 3.127,10.112 ± 1.928,11.911 ± 1.199,5.919 ± 0.291,0.839 ± 0.092,1.116 ± 0.075,100
CPCRW,field moist,2.193 ± 0.479,9.599 ± 2.33,7.074 ± 0.601,45.499 ± 5.066,16.346 ± 3.936,11.183 ± 0.497,4.61 ± 0.522,0.997 ± 0.12,2.499 ± 0.423,100
CPCRW,saturation,3.373 ± 0.339,10.784 ± 1.06,6.009 ± 0.533,35.471 ± 1.452,22.365 ± 0.852,14.69 ± 1.182,4.573 ± 0.254,0.93 ± 0.079,1.804 ± 0.233,100
CPCRW,time zero saturation,2.943 ± 0.346,13.531 ± 1.869,5.461 ± 0.631,32.942 ± 2.752,24.318 ± 3.622,13.631 ± 1.628,4.439 ± 0.938,0.825 ± 0.062,1.909 ± 0.178,100
DWP,baseline,6.49 ± 0.451,19.772 ± 0.652,7.266 ± 0.472,28.568 ± 1.257,10.425 ± 0.351,14.597 ± 1.094,7.428 ± 0.331,1.533 ± 0.286,3.921 ± 0.08,100
DWP,drought,1.821 ± 0.18,6.384 ± 0.942,10.052 ± 0.47,34.542 ± 1.859,23.733 ± 2.617,15.61 ± 0.611,3.107 ± 0.465,1.54 ± 0.238,3.212 ± 0.331,100
DWP,field moist,2.054 ± 0.132,9.319 ± 0.531,9.14 ± 0.967,29.335 ± 2.834,23.708 ± 2.236,18.518 ± 1.891,2.583 ± 0.698,1.568 ± 0.157,3.775 ± 0.181,100
DWP,saturation,1.738 ± 0.202,8.995 ± 1.025,10.538 ± 1.267,35.617 ± 2.3,19.372 ± 2.093,13.292 ± 1.262,3.524 ± 0.406,2.74 ± 0.412,4.184 ± 0.102,100
DWP,time zero saturation,2.753 ± 0.235,14.216 ± 1.659,9.766 ± 0.372,31.763 ± 4.204,17.523 ± 3.117,13.403 ± 0.759,4.055 ± 0.235,2.045 ± 0.334,4.475 ± 0.502,100
SR,baseline,2.816 ± 0.258,11.718 ± 1.377,13.767 ± 0.894,26.797 ± 2.149,23.957 ± 3.298,12.489 ± 1.387,2.738 ± 0.265,3.998 ± 0.292,1.719 ± 0.116,100
SR,drought,3.45 ± 0.316,15.546 ± 1.137,10.453 ± 0.748,36.401 ± 2.724,10.455 ± 1.025,14.271 ± 1.967,3.33 ± 0.463,3.611 ± 0.738,2.484 ± 0.14,100
SR,field moist,4.161 ± 0.162,12.382 ± 0.833,7.437 ± 1.612,34.188 ± 1.327,15.644 ± 1.298,18.224 ± 2.841,2.639 ± 0.264,3.998 ± 0.328,1.327 ± 0.131,100
SR,saturation,3.371 ± 0.099,12.803 ± 0.782,7.592 ± 1.088,33.55 ± 1.679,15.053 ± 0.777,19.195 ± 1.845,2.943 ± 0.219,4.001 ± 0.802,1.491 ± 0.197,100
SR,time zero saturation,3.164 ± 0.266,10.393 ± 0.752,9.716 ± 0.689,26.876 ± 1.055,23.019 ± 3.092,17.122 ± 1.061,2.681 ± 0.152,5.001 ± 0.729,2.028 ± 0.202,100
