group,CPCRW_baseline,CPCRW_drought,CPCRW_field moist,CPCRW_saturation,CPCRW_time zero saturation,DWP_baseline,DWP_drought,DWP_field moist,DWP_saturation,DWP_time zero saturation,SR_baseline,SR_drought,SR_field moist,SR_saturation,SR_time zero saturation
AminoSugar,2.69 ± 0.32,1.48 ± 0.12,2.19 ± 0.48,3.37 ± 0.34,2.94 ± 0.35,6.49 ± 0.45,1.82 ± 0.18,2.05 ± 0.13,1.74 ± 0.2,2.75 ± 0.24,2.82 ± 0.26,3.45 ± 0.32,4.16 ± 0.16,3.37 ± 0.1,3.16 ± 0.27
Carb,10.82 ± 1.88,4.17 ± 0.92,9.6 ± 2.33,10.78 ± 1.06,13.53 ± 1.87,19.77 ± 0.65,6.38 ± 0.94,9.32 ± 0.53,9 ± 1.02,14.22 ± 1.66,11.72 ± 1.38,15.55 ± 1.14,12.38 ± 0.83,12.8 ± 0.78,10.39 ± 0.75
ConHC,6.45 ± 0.92,8.29 ± 1.21,7.07 ± 0.6,6.01 ± 0.53,5.46 ± 0.63,7.27 ± 0.47,10.05 ± 0.47,9.14 ± 0.97,10.54 ± 1.27,9.77 ± 0.37,13.77 ± 0.89,10.45 ± 0.75,7.44 ± 1.61,7.59 ± 1.09,9.72 ± 0.69
Lignin,36.24 ± 0.71,56.17 ± 3.13,45.5 ± 5.07,35.47 ± 1.45,32.94 ± 2.75,28.57 ± 1.26,34.54 ± 1.86,29.34 ± 2.83,35.62 ± 2.3,31.76 ± 4.2,26.8 ± 2.15,36.4 ± 2.72,34.19 ± 1.33,33.55 ± 1.68,26.88 ± 1.05
Lipid,24.65 ± 3.11,10.11 ± 1.93,16.35 ± 3.94,22.37 ± 0.85,24.32 ± 3.62,10.43 ± 0.35,23.73 ± 2.62,23.71 ± 2.24,19.37 ± 2.09,17.52 ± 3.12,23.96 ± 3.3,10.45 ± 1.02,15.64 ± 1.3,15.05 ± 0.78,23.02 ± 3.09
Protein,11.59 ± 1,11.91 ± 1.2,11.18 ± 0.5,14.69 ± 1.18,13.63 ± 1.63,14.6 ± 1.09,15.61 ± 0.61,18.52 ± 1.89,13.29 ± 1.26,13.4 ± 0.76,12.49 ± 1.39,14.27 ± 1.97,18.22 ± 2.84,19.2 ± 1.84,17.12 ± 1.06
Tannin,4.79 ± 0.45,5.92 ± 0.29,4.61 ± 0.52,4.57 ± 0.25,4.44 ± 0.94,7.43 ± 0.33,3.11 ± 0.47,2.58 ± 0.7,3.52 ± 0.41,4.06 ± 0.23,2.74 ± 0.26,3.33 ± 0.46,2.64 ± 0.26,2.94 ± 0.22,2.68 ± 0.15
Unnamed,2.08 ± 0.34,1.12 ± 0.07,2.5 ± 0.42,1.8 ± 0.23,1.91 ± 0.18,3.92 ± 0.08,3.21 ± 0.33,3.77 ± 0.18,4.18 ± 0.1,4.47 ± 0.5,1.72 ± 0.12,2.48 ± 0.14,1.33 ± 0.13,1.49 ± 0.2,2.03 ± 0.2
UnsatHC,0.69 ± 0.07,0.84 ± 0.09,1 ± 0.12,0.93 ± 0.08,0.83 ± 0.06,1.53 ± 0.29,1.54 ± 0.24,1.57 ± 0.16,2.74 ± 0.41,2.05 ± 0.33,4 ± 0.29,3.61 ± 0.74,4 ± 0.33,4 ± 0.8,5 ± 0.73
total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
