site,treatment,Class,relabund2,total,relativeabundance
CPCRW,baseline,AminoSugar,2.692304047824344,100,2.69 ± 0.32 
CPCRW,baseline,Carb,10.815844644539075,100,10.82 ± 1.88 
CPCRW,baseline,ConHC,6.44608971074727,100,6.45 ± 0.92 
CPCRW,baseline,Lignin,36.23657475125805,100,36.24 ± 0.71 
CPCRW,baseline,Lipid,24.654010133384595,100,24.65 ± 3.11 
CPCRW,baseline,Protein,11.590522451629592,100,11.59 ± 1 
CPCRW,baseline,Tannin,4.791825817741297,100,4.79 ± 0.45 
CPCRW,baseline,Unnamed,2.079571848649652,100,2.08 ± 0.34 
CPCRW,baseline,UnsatHC,0.6932565942261303,100,0.69 ± 0.07 
CPCRW,drought,AminoSugar,1.4764625544533116,100,1.48 ± 0.12 
CPCRW,drought,Carb,4.172890494451901,100,4.17 ± 0.92 *
CPCRW,drought,ConHC,8.285266380937966,100,8.29 ± 1.21 
CPCRW,drought,Lignin,56.167964278798436,100,56.17 ± 3.13 *
CPCRW,drought,Lipid,10.112422431880905,100,10.11 ± 1.93 *
CPCRW,drought,Protein,11.91073818217785,100,11.91 ± 1.2 
CPCRW,drought,Tannin,5.918733126105406,100,5.92 ± 0.29 
CPCRW,drought,Unnamed,1.1163729835890652,100,1.12 ± 0.07 
CPCRW,drought,UnsatHC,0.8391495676051618,100,0.84 ± 0.09 
CPCRW,field moist,AminoSugar,2.1929369477458405,100,2.19 ± 0.48 
CPCRW,field moist,Carb,9.598988423698671,100,9.6 ± 2.33 
CPCRW,field moist,ConHC,7.074453533078001,100,7.07 ± 0.6 
CPCRW,field moist,Lignin,45.49948677401192,100,45.5 ± 5.07 
CPCRW,field moist,Lipid,16.345578361006144,100,16.35 ± 3.94 
CPCRW,field moist,Protein,11.1825385344101,100,11.18 ± 0.5 
CPCRW,field moist,Tannin,4.610396050342105,100,4.61 ± 0.52 
CPCRW,field moist,Unnamed,2.499086360810429,100,2.5 ± 0.42 
CPCRW,field moist,UnsatHC,0.9965350148967875,100,1 ± 0.12 
CPCRW,saturation,AminoSugar,3.3734695771114116,100,3.37 ± 0.34 
CPCRW,saturation,Carb,10.784113943670617,100,10.78 ± 1.06 
CPCRW,saturation,ConHC,6.009334892764644,100,6.01 ± 0.53 
CPCRW,saturation,Lignin,35.470962305957215,100,35.47 ± 1.45 
CPCRW,saturation,Lipid,22.365347223587477,100,22.37 ± 0.85 
CPCRW,saturation,Protein,14.689703739733277,100,14.69 ± 1.18 
CPCRW,saturation,Tannin,4.573257632798661,100,4.57 ± 0.25 
CPCRW,saturation,Unnamed,1.8037881143143328,100,1.8 ± 0.23 
CPCRW,saturation,UnsatHC,0.9300225700623647,100,0.93 ± 0.08 
CPCRW,time zero saturation,AminoSugar,2.943384028274334,100,2.94 ± 0.35 
CPCRW,time zero saturation,Carb,13.531401898583958,100,13.53 ± 1.87 
CPCRW,time zero saturation,ConHC,5.460925431031146,100,5.46 ± 0.63 
CPCRW,time zero saturation,Lignin,32.94211283282709,100,32.94 ± 2.75 
CPCRW,time zero saturation,Lipid,24.31849203091679,100,24.32 ± 3.62 
CPCRW,time zero saturation,Protein,13.63074473357121,100,13.63 ± 1.63 
CPCRW,time zero saturation,Tannin,4.4385156932585055,100,4.44 ± 0.94 
CPCRW,time zero saturation,Unnamed,1.9089302956603753,100,1.91 ± 0.18 
CPCRW,time zero saturation,UnsatHC,0.8254930558765832,100,0.83 ± 0.06 
DWP,baseline,AminoSugar,6.489708085403791,100,6.49 ± 0.45 
DWP,baseline,Carb,19.77155440547962,100,19.77 ± 0.65 
DWP,baseline,ConHC,7.266186689739227,100,7.27 ± 0.47 
DWP,baseline,Lignin,28.56778601821928,100,28.57 ± 1.26 
DWP,baseline,Lipid,10.425113567583853,100,10.43 ± 0.35 
DWP,baseline,Protein,14.596669398773823,100,14.6 ± 1.09 
DWP,baseline,Tannin,7.428203844002168,100,7.43 ± 0.33 
DWP,baseline,Unnamed,3.92144476661304,100,3.92 ± 0.08 
DWP,baseline,UnsatHC,1.5333332241851971,100,1.53 ± 0.29 
DWP,drought,AminoSugar,1.8211535223645672,100,1.82 ± 0.18 *
DWP,drought,Carb,6.383579379335426,100,6.38 ± 0.94 *
