site,treatment,tension,counts_mean,counts_se,dunnett
Alaska,drought,1.5 kPa,59,7.418894796396562,
Alaska,drought,50 kPa,164,7.463243262818116,*
Alaska,field moist,1.5 kPa,171,29.4057817444121,
Alaska,field moist,50 kPa,205,0,
Alaska,flood,1.5 kPa,126,20.249444436823442,
Alaska,flood,50 kPa,209,7.3824115301167,
Alaska,time zero saturation,1.5 kPa,153,41.3311020903145,NA
Alaska,time zero saturation,50 kPa,261,24.880916381837707,NA
Florida,drought,1.5 kPa,37,9.90151503558925,
Florida,drought,50 kPa,131,13.75605927097825,
Florida,field moist,1.5 kPa,166,29.508473359359,*
Florida,field moist,50 kPa,178,0,
Florida,flood,1.5 kPa,155,22.156263222845137,*
Florida,flood,50 kPa,207,17.805617091243988,
Florida,time zero saturation,1.5 kPa,56,16.232683080747925,NA
Florida,time zero saturation,50 kPa,175,8.626509529738357,NA
Washington,drought,1.5 kPa,30,11.555950847939775,
Washington,drought,50 kPa,8,2,*
Washington,field moist,1.5 kPa,9,1.5362291495737215,
Washington,field moist,50 kPa,17,1.5491933384829666,*
Washington,flood,1.5 kPa,38,8.759518632131943,
Washington,flood,50 kPa,14,0.8539125638299665,*
Washington,time zero saturation,1.5 kPa,36,3.497022543059548,NA
Washington,time zero saturation,50 kPa,62,15.394804318340652,NA
