Site,TREATMENT_PHASE,SampleID,inctime_hours,cumCO2 flux (mgC/gSoil),cumCH4 flux (mgC/gSoil)
CPCRW,DROUGHT_INCUBATION,C21,588.96,1.205484176862118,6.335823569470599e-7
CPCRW,DROUGHT_INCUBATION,C22,589.39,7.809280149212001,8.969550806269731e-7
CPCRW,DROUGHT_INCUBATION,C23,588.95,0.71000738200742,1.2734312010359702e-7
CPCRW,DROUGHT_INCUBATION,C24,588.77,6.194896801184746,1.6575123633414558e-6
CPCRW,DROUGHT_INCUBATION,C25,588.61,5.631186395087234,7.47916057274119e-7
CPCRW,DROUGHT_PRE_INCUBATION,C21,387.34,1.4114189779907391,-4.414261129678217e-6
CPCRW,DROUGHT_PRE_INCUBATION,C22,387.47,1.0696008668263197,-1.924707572304133e-7
CPCRW,DROUGHT_PRE_INCUBATION,C23,386.14,2.4169108790954468,-3.0386620320122054e-7
CPCRW,DROUGHT_PRE_INCUBATION,C24,386.1,5.842532680822424,-9.269442298057485e-7
CPCRW,DROUGHT_PRE_INCUBATION,C25,387.51,0.7134358181169128,2.087376887913366e-7
CPCRW,DROUGHT_SATURATION,C21,5.8,0.06585369735307565,-1.6657613587019486e-10
CPCRW,DROUGHT_SATURATION,C22,5.31,0.15826152584591532,2.322764718459369e-9
CPCRW,DROUGHT_SATURATION,C23,5.31,0.07130592197955712,2.593340338237544e-9
CPCRW,DROUGHT_SATURATION,C24,5.31,0.06049410263409554,1.4878592703546852e-9
CPCRW,DROUGHT_SATURATION,C25,5.79,0.06560829185667597,1.3515011666646822e-9
CPCRW,DROUGHT4C_PRE_INCUBATION,C21,164.77,0.5679593587490758,-2.1241630253830394e-7
CPCRW,DROUGHT4C_PRE_INCUBATION,C22,164.77,0.7046597436876488,-2.2990991270424292e-8
CPCRW,DROUGHT4C_PRE_INCUBATION,C23,164.77,0.5371911176990432,2.2022920098194213e-7
CPCRW,DROUGHT4C_PRE_INCUBATION,C24,164.77,0.8950312135730745,4.836698291826236e-8
CPCRW,DROUGHT4C_PRE_INCUBATION,C25,164.77,0.8092199450862686,2.2048186111509677e-7
CPCRW,FIELD_MOIST_INCUBATION,C16,555.2,5.506008173394777,1.921168463430281e-6
CPCRW,FIELD_MOIST_INCUBATION,C17,555.57,53.516135003419855,1.3009199140402594e-5
CPCRW,FIELD_MOIST_INCUBATION,C18,553.95,9.168476258196224,-1.1716844373256894e-6
CPCRW,FIELD_MOIST_INCUBATION,C19,554.08,4.340761044308483,-1.9552000403904455e-7
CPCRW,FIELD_MOIST_INCUBATION,C20,555.32,5.095286680557445,3.3219929977625325e-7
CPCRW,FIELD_MOIST_SATURATION,C16,7.33,0.029360834086460372,-6.037528112130974e-9
CPCRW,FIELD_MOIST_SATURATION,C17,7.33,0.2910894600908144,-2.55823331300253e-8
CPCRW,FIELD_MOIST_SATURATION,C18,7.33,0.11840292810057079,-8.915597838858655e-9
CPCRW,FIELD_MOIST_SATURATION,C19,7.33,0.01614118889674554,-1.3000977297523617e-9
CPCRW,FIELD_MOIST_SATURATION,C20,7.33,0.02818843937468946,-3.2920622205028057e-9
CPCRW,IMMEDIATE_SATURATION,C10,12.65,0.08887486819213712,-2.5007629676160007e-9
CPCRW,IMMEDIATE_SATURATION,C6,12.98,0.03701066195275384,3.2685516281274375e-9
CPCRW,IMMEDIATE_SATURATION,C7,12.98,0.007629564049341925,3.451245863644116e-10
CPCRW,IMMEDIATE_SATURATION,C8,12.65,0.04346434247385497,6.346399564102861e-9
CPCRW,IMMEDIATE_SATURATION,C9,12.65,0.24563038599832823,2.651841815529554e-8
