SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records,samplenum,CO2_ppm_s,CH4_ppb_s,r2_CO2,r2_CH4,DATETIME,N,h2o_reported
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,206,DROUGHT4C_PRE_INCUBATION,1,553.21,NA,18,664,16.281077936850327,0.006182250673417745,0.5763557969864184,0.7409990981573312,2016-10-06T22:16:19Z,11,0.8892456230572727
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,206,DROUGHT4C_PRE_INCUBATION,1,553.21,NA,18,674,20.411235376382965,0.046342731062766,0.6690286155023557,0.6568262913185653,2016-10-06T22:28:49Z,5,0.989936725952
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,206,DROUGHT4C_PRE_INCUBATION,1,553.21,NA,18,684,12.359239533050442,0.03479605621369094,0.9193435107525437,0.9060096648972169,2016-10-06T22:41:15Z,10,0.96457210588
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,207,DROUGHT4C_PRE_INCUBATION,2,419.01,NA,18,666,40.56442988642373,0.020317117904463257,0.789242682483365,0.7322473405412786,2016-10-06T22:18:50Z,14,0.9261984577757143
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,207,DROUGHT4C_PRE_INCUBATION,2,419.01,NA,18,676,14.773339652400816,0.018917896864332,0.6013824983566568,0.5258284710925916,2016-10-06T22:31:17Z,11,0.9690842968481819
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,207,DROUGHT4C_PRE_INCUBATION,2,419.01,NA,18,686,11.070636354411759,0.023200458931550854,0.5448872751387084,0.5100966333057295,2016-10-06T22:43:46Z,7,0.9987900644771429
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,208,DROUGHT4C_PRE_INCUBATION,3,358.91,NA,18,668,28.62798041520001,0.04785832312000004,0.5106572910385665,0.5177808515700899,2016-10-06T22:21:21Z,5,0.904694279888
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,208,DROUGHT4C_PRE_INCUBATION,3,358.91,NA,18,678,30.696812353420572,0.07885562149663558,0.8778279216692959,0.8496901898834895,2016-10-06T22:33:44Z,8,0.94736410043375
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,208,DROUGHT4C_PRE_INCUBATION,3,358.91,NA,18,688,14.311252762755794,0.03893825244576274,0.8251416632195581,0.7447265156129536,2016-10-06T22:46:15Z,11,0.9593513255927273
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,209,DROUGHT4C_PRE_INCUBATION,4,383.45,NA,18,670,29.408438592311732,0.032247417406742494,0.7727164934001273,0.7832858717250964,2016-10-06T22:23:51Z,12,0.9357165229625
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,209,DROUGHT4C_PRE_INCUBATION,4,383.45,NA,18,680,19.227419813117162,0.041207687179079494,0.7874277999838857,0.7654432196993538,2016-10-06T22:36:17Z,8,0.973435861915
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,209,DROUGHT4C_PRE_INCUBATION,4,383.45,NA,18,690,19.837422488266675,0.061175727007999975,0.6943342658449637,0.6803771201621409,2016-10-06T22:48:46Z,6,0.9760253455766666
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,210,DROUGHT4C_PRE_INCUBATION,5,375.89,NA,18,672,47.794347674711794,0.11662684987117801,0.8450435560867862,0.7378199134424402,2016-10-06T22:26:16Z,8,0.95741762852375
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,210,DROUGHT4C_PRE_INCUBATION,5,375.89,NA,18,682,18.261250015111354,0.05881365314740192,0.5767947525150803,0.5919362731146085,2016-10-06T22:38:47Z,8,0.9814231350075
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,210,DROUGHT4C_PRE_INCUBATION,5,375.89,NA,18,692,15.368230020641427,0.06543726218822299,0.7050000869725015,0.6727595201194304,2016-10-06T22:51:15Z,8,0.97288512533375
