SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,206,DROUGHT4C_PRE_INCUBATION,1,2016-10-06T22:15:00Z,2016-10-07T13:15:00Z,553.21,NA,18
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,207,DROUGHT4C_PRE_INCUBATION,2,2016-10-06T22:15:00Z,2016-10-07T13:15:00Z,419.01,NA,18
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,208,DROUGHT4C_PRE_INCUBATION,3,2016-10-06T22:15:00Z,2016-10-07T13:15:00Z,358.91,NA,18
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,209,DROUGHT4C_PRE_INCUBATION,4,2016-10-06T22:15:00Z,2016-10-07T13:15:00Z,383.45,NA,18
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,210,DROUGHT4C_PRE_INCUBATION,5,2016-10-06T22:15:00Z,2016-10-07T13:15:00Z,375.89,NA,18
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,2016-10-07T23:22:00Z,2016-10-08T14:30:00Z,593.35,10,197
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,2016-10-07T23:22:00Z,2016-10-08T14:30:00Z,605.26,10,197
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,2016-10-07T23:22:00Z,2016-10-08T14:30:00Z,539.8,10,197
C9,CPCRW,sat_I,2,5.44,173.28,201.1,196.29,215,IMMEDIATE_SATURATION,9,2016-10-07T23:22:00Z,2016-10-08T14:30:00Z,551.43,10,197
C10,CPCRW,sat_I,1,5.08,285.19,125.19,267.9,216,IMMEDIATE_SATURATION,10,2016-10-07T23:22:00Z,2016-10-08T14:30:00Z,547.71,10,197
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,218,DROUGHT4C_PRE_INCUBATION,1,2016-10-09T15:30:00Z,2016-10-10T04:30:00Z,550.12,NA,18
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,219,DROUGHT4C_PRE_INCUBATION,2,2016-10-09T15:30:00Z,2016-10-10T04:30:00Z,416.27,NA,18
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,220,DROUGHT4C_PRE_INCUBATION,3,2016-10-09T15:30:00Z,2016-10-10T04:30:00Z,356.23,NA,18
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,221,DROUGHT4C_PRE_INCUBATION,4,2016-10-09T15:30:00Z,2016-10-10T04:30:00Z,379.47,NA,18
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,222,DROUGHT4C_PRE_INCUBATION,5,2016-10-09T15:30:00Z,2016-10-10T04:30:00Z,373.08,NA,18
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,235,FIELD_MOIST_INCUBATION,8,2016-10-11T17:56:00Z,2016-10-11T20:56:00Z,421.27,NA,30
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,236,FIELD_MOIST_INCUBATION,6,2016-10-11T17:56:00Z,2016-10-11T20:56:00Z,408.79,NA,30
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,237,FIELD_MOIST_INCUBATION,1,2016-10-11T17:56:00Z,2016-10-11T20:56:00Z,393.96,NA,30
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,238,FIELD_MOIST_INCUBATION,7,2016-10-11T17:56:00Z,2016-10-11T20:56:00Z,537.98,NA,30
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,239,FIELD_MOIST_INCUBATION,2,2016-10-11T17:56:00Z,2016-10-11T20:56:00Z,525.74,NA,30
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,224,SATURATION_SATURATION,11,2016-10-12T00:00:00Z,2016-10-12T15:30:00Z,556.06,10,232
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,225,SATURATION_SATURATION,12,2016-10-12T00:00:00Z,2016-10-12T15:30:00Z,500.25,10,232
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,226,SATURATION_SATURATION,13,2016-10-12T00:00:00Z,2016-10-12T15:30:00Z,599.65,10,232
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,227,SATURATION_SATURATION,14,2016-10-12T00:00:00Z,2016-10-12T15:30:00Z,577.71,10,232
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,228,SATURATION_SATURATION,15,2016-10-12T00:00:00Z,2016-10-12T15:30:00Z,484.2,10,232
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,230,DROUGHT4C_PRE_INCUBATION,1,2016-10-13T16:30:00Z,2016-10-13T19:44:00Z,545.4,NA,15
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,231,DROUGHT4C_PRE_INCUBATION,2,2016-10-13T16:30:00Z,2016-10-13T19:44:00Z,411.84,NA,15
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,232,DROUGHT4C_PRE_INCUBATION,3,2016-10-13T16:30:00Z,2016-10-13T19:44:00Z,353.58,NA,15
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,233,DROUGHT4C_PRE_INCUBATION,4,2016-10-13T16:30:00Z,2016-10-13T19:44:00Z,373.86,NA,15
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,234,DROUGHT4C_PRE_INCUBATION,5,2016-10-13T16:30:00Z,2016-10-13T19:44:00Z,364.53,NA,15
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,241,SATURATION_INCUBATION,2,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,578.73,NA,30
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,242,SATURATION_INCUBATION,8,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,518.27,NA,30
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,243,SATURATION_INCUBATION,7,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,622.71,NA,30
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,244,SATURATION_INCUBATION,1,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,587.58,NA,30
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,245,SATURATION_INCUBATION,15,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,464.49,NA,30
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,246,FIELD_MOIST_INCUBATION,4,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,414.27,NA,30
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,247,FIELD_MOIST_INCUBATION,3,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,397.46,NA,30
