"","Site","Suction","Treatment","N","wsoc","wsoc_mg_L","treatment","wsoc_dunnett"
"1","CPCRW","1.5 kPa","Time Zero",5,26.3,"26.3 ± 2.78","Drought","26.3 ± 2.78 *"
"2","CPCRW","1.5 kPa","Time Zero",5,26.3,"26.3 ± 2.78","Field Moist","26.3 ± 2.78 "
"3","CPCRW","1.5 kPa","Time Zero",5,26.3,"26.3 ± 2.78","Saturated","26.3 ± 2.78 "
"4","CPCRW","1.5 kPa","Field Moist",5,21.22,"21.22 ± 3.73","Drought","21.22 ± 3.73 *"
"5","CPCRW","1.5 kPa","Field Moist",5,21.22,"21.22 ± 3.73","Field Moist","21.22 ± 3.73 "
"6","CPCRW","1.5 kPa","Field Moist",5,21.22,"21.22 ± 3.73","Saturated","21.22 ± 3.73 "
"7","CPCRW","1.5 kPa","Saturated",5,52.82,"52.82 ± 13.98","Drought","52.82 ± 13.98 *"
"8","CPCRW","1.5 kPa","Saturated",5,52.82,"52.82 ± 13.98","Field Moist","52.82 ± 13.98 "
"9","CPCRW","1.5 kPa","Saturated",5,52.82,"52.82 ± 13.98","Saturated","52.82 ± 13.98 "
"10","CPCRW","1.5 kPa","Drought",5,111.82,"111.82 ± 41.45","Drought","111.82 ± 41.45 *"
"11","CPCRW","1.5 kPa","Drought",5,111.82,"111.82 ± 41.45","Field Moist","111.82 ± 41.45 "
"12","CPCRW","1.5 kPa","Drought",5,111.82,"111.82 ± 41.45","Saturated","111.82 ± 41.45 "
"13","CPCRW","50 kPa","Time Zero",5,29.14,"29.14 ± 4.41","Drought","29.14 ± 4.41 *"
"14","CPCRW","50 kPa","Time Zero",5,29.14,"29.14 ± 4.41","Field Moist","29.14 ± 4.41 "
"15","CPCRW","50 kPa","Time Zero",5,29.14,"29.14 ± 4.41","Saturated","29.14 ± 4.41 "
"16","CPCRW","50 kPa","Field Moist",3,41.1666666666667,"41.17 ± 12.67","Drought","41.17 ± 12.67 *"
"17","CPCRW","50 kPa","Field Moist",3,41.1666666666667,"41.17 ± 12.67","Field Moist","41.17 ± 12.67 "
