	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																															
TIGR02348	6645.596454	-0.542437425	0.230039361	-2.358020045	0.018372701	0.062034063	Protein fate	Protein folding and stabilization	GroEL	chaperonin GroL	groL	NA	"This family consists of GroEL, the larger subunit of the GroEL/GroES cytosolic chaperonin. It is found in bacteria, organelles derived from bacteria, and occasionally in the Archaea. The bacterial GroEL/GroES group I chaperonin is replaced a group II chaperonin, usually called the thermosome in the Archaeota and CCT (chaperone-containing TCP) in the Eukaryota. GroEL, thermosome subunits, and CCT subunits all fall under the scope of Pfam model PF00118."																								
TIGR02350	3774.833643	-0.726069077	0.276493518	-2.625989504	0.008639748	0.034346524	Protein fate	Protein folding and stabilization	prok_dnaK	chaperone protein DnaK	dnaK	NA	"Members of this family are the chaperone DnaK, of the DnaK-DnaJ-GrpE chaperone system. All members of the seed alignment were taken from completely sequenced bacterial or archaeal genomes and (except for Mycoplasma sequence) found clustered with other genes of this systems. This model excludes DnaK homologs that are not DnaK itself, such as the heat shock cognate protein HscA (TIGR01991). However, it is not designed to distinguish among DnaK paralogs in eukaryotes. Note that a number of dnaK genes have shadow ORFs in the same reverse (relative to dnaK) reading frame, a few of which have been assigned glutamate dehydrogenase activity. The significance of this observation is unclear; lengths of such shadow ORFs are highly variable as if the presumptive protein product is not conserved."																								
TIGR00485	4072.025137	0.062675095	0.331066632	0.189312629	0.849847798	0.921277221	Protein synthesis	Translation factors	EF-Tu	translation elongation factor TU	tuf	NA	"This HMM models orthologs of translation elongation factor EF-Tu in bacteria, mitochondria, and chloroplasts, one of several GTP-binding translation factors found by the more general pfam HMM GTP_EFTU. The eukaryotic conterpart, eukaryotic translation elongation factor 1 (eEF-1 alpha), is excluded from this model. EF-Tu is one of the most abundant proteins in bacteria, as well as one of the most highly conserved, and in a number of species the gene is duplicated with identical function. When bound to GTP, EF-Tu can form a complex with any (correctly) aminoacylated tRNA except those for initiation and for selenocysteine, in which case EF-Tu is replaced by other factors. Transfer RNA is carried to the ribosome in these complexes for protein translation."																								
TIGR03346	2290.640773	-0.450935357	0.200903706	-2.244534792	0.024798013	0.078619399	Protein fate	Protein folding and stabilization	chaperone_ClpB	ATP-dependent chaperone ClpB	clpB	NA	"Members of this protein family are the bacterial ATP-dependent chaperone ClpB. This protein belongs to the AAA family, ATPases associated with various cellular activities (PF00004). This molecular chaperone does not act as a protease, but rather serves to disaggregate misfolded and aggregated proteins."																								
TIGR02381	2164.938635	0.939504966	0.226180646	4.153781416	3.27E-05	0.00038664	DNA metabolism	"DNA replication, recombination, and repair"	cspD	cold shock domain protein CspD	cspD	NA	"This HMM represents what appears to be a phylogenetically distinct clade, containing E. coli CspD (SP|P24245) and related proteobacterial proteins within the larger family of cold shock domain proteins described by Pfam HMM PF00313. The gene symbol cspD may have been used idependently for other subfamilies of cold shock domain proteins, such as for B. subtilis CspD. These proteins typically are shorter than 70 amino acids. In E. coli, CspD is a stress response protein induced in stationary phase. This homodimer binds single-stranded DNA and appears to inhibit DNA replication [1]."																								
TIGR00484	2488.242299	0.020330178	0.24008787	0.084678072	0.932517329	0.973695647	Protein synthesis	Translation factors	EF-G	translation elongation factor EF-G	fusA	NA	"After peptide bond formation, this elongation factor of bacteria and organelles catalyzes the translocation of the tRNA-mRNA complex, with its attached nascent polypeptide chain, from the A-site to the P-site of the ribosome. Every completed bacterial genome has at least one copy, but some species have additional EF-G-like proteins. The closest homolog to canonical (e.g. E. coli) EF-G in the spirochetes clusters as if it is derived from mitochondrial forms, while a more distant second copy is also present. Synechocystis PCC6803 has a few proteins more closely related to EF-G than to any other characterized protein. Two of these resemble E. coli EF-G more closely than does the best match from the spirochetes; it may be that both function as authentic EF-G."																								
TIGR01991	1967.36715	-0.821435467	0.244379267	-3.361314062	0.000775726	0.005007712	Protein fate	Protein folding and stabilization	HscA	Fe-S protein assembly chaperone HscA	hscA	NA	The Heat Shock Cognate proteins HscA and HscB act together as chaperones. HscA resembles DnaK but belongs in a separate clade. The apparent function is to aid assembly of iron-sulfur cluster proteins. Homologs from Buchnera and Wolbachia are clearly in the same clade but are highly derived and score lower than some examples of DnaK.																								
TIGR02013	2283.75357	-0.395953657	0.217031858	-1.824403392	0.06809111	0.165844226	Transcription	DNA-dependent RNA polymerase	rpoB	"DNA-directed RNA polymerase, beta subunit"	rpoB	2.7.7.6	"This model describes orthologs of the beta subunit of Bacterial RNA polymerase. The core enzyme consists of two alpha chains, one beta chain, and one beta subunit.
DR"																								
TIGR02639	1798.587	-0.334454688	0.177184372	-1.887608285	0.059078557	0.148506552	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	ClpA	ATP-dependent Clp protease ATP-binding subunit clpA	clpA	NA	NA																								
TIGR03345	1505.304414	-0.428008377	0.186871889	-2.290383959	0.021999069	0.071749836	Protein fate	Protein and peptide secretion and trafficking	VI_ClpV1	"type VI secretion ATPase, ClpV1 family"	clpV	NA	"Members of this protein family are homologs of ClpB, an ATPase associated with chaperone-related functions. These ClpB homologs, designated ClpV1, are a key component of the bacterial pathogenicity-associated type VI secretion system."																								
TIGR02386	1827.384414	-0.184211603	0.215397459	-0.855217159	0.392430938	0.575915598	Transcription	DNA-dependent RNA polymerase	rpoC_TIGR	"DNA-directed RNA polymerase, beta subunit
AU"	rpoC	2.7.7.6	"Bacteria have a single DNA-directed RNA polymerase, with required subunits that include alpha, beta, and beta-prime. This model describes the predominant architecture of the beta-prime subunit in most bacteria. This model excludes from among the bacterial mostly sequences from the cyanobacteria, where RpoC is replaced by two tandem genes homologous to it but also encoding an additional domain."																								
TIGR00763	1374.211427	-0.315499922	0.254413385	-1.240107405	0.21493567	0.381771496	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	lon	endopeptidase La	lon	3.4.21.53	"This protein, the ATP-dependent serine endopeptidase La, is induced by heat shock and other stresses in E. coli, B. subtilis, and other species. The yeast member, designated PIM1, is located in the mitochondrial matrix, required for mitochondrial function, and also induced by heat shock."																								
TIGR02393	1104.758784	-0.082817151	0.171230202	-0.483659718	0.628627386	0.770582257	Transcription	Transcription factors	RpoD_Cterm	"RNA polymerase sigma factor RpoD, C-terminal domain"	rpoD	NA	"This model represents the well-conserved C-terminal region of the major, essential sigma factor of most bacteria. Members of this clade show considerable variability in domain architecture and molecular weight, as well as in nomenclature:"																								
TIGR01241	892.9220119	-0.191217119	0.166098334	-1.151228401	0.249638284	0.419281995	Cellular processes	Cell division	FtsH_fam	ATP-dependent metalloprotease FtsH	hflB	3.4.24.-	HflB(FtsH) is a pleiotropic protein required for correct cell division in bacteria. It has ATP-dependent zinc metalloprotease activity. It was formerly designated cell division protein FtsH.																								
TIGR02997	990.6214902	-0.145158569	0.164841132	-0.880596773	0.378536106	0.563091062	NA	NA	Sig70-cyanoRpoD	"RNA polymerase sigma factor, cyanobacterial RpoD-like family"	NA	NA	This family includes a number of closely related sigma-70 (TIGR02937) factors in the cyanobacteria.																								
TIGR02394	970.6722481	0.099569267	0.176728386	0.563402799	0.573160632	0.730120446	Transcription	Transcription factors	rpoS_proteo	RNA polymerase sigma factor RpoS	rpoS	NA	"A sigma factor is a DNA-binding protein protein that binds to the DNA-directed RNA polymerase core to produce the holoenzyme capable of initiating transcription at specific sites. Different sigma factors act in vegetative growth, heat shock, extracytoplasmic functions (ECF), etc. This model represents the clade of sigma factors called RpoS (also called sigma-38, KatF, etc.), found only in Proteobacteria. This sigma factor is induced in stationary phase (in response to the stress of nutrient limitation) and becomes the second prinicipal sigma factor at that time."																								
TIGR03591	768.5926197	-0.109121238	0.184573374	-0.591207902	0.554381129	0.71768348	Transcription	Degradation of RNA	polynuc_phos	polyribonucleotide nucleotidyltransferase	pnp	2.7.7.8	"Members of this protein family are polyribonucleotide nucleotidyltransferase, also called polynucleotide phosphorylase. Some members have been shown also to have additional functions as guanosine pentaphosphate synthetase and as poly(A) polymerase (see model TIGR02696 for an exception clade, within this family)."																								
TIGR00168	954.6160374	-0.261296798	0.210182134	-1.24319224	0.213797001	0.380941282	Protein synthesis	Translation factors	infC	translation initiation factor IF-3	infC	NA	"infC uses abnormal initiation codons such as AUA, AUC, and CUG which render its expression particularly sensitive to excess of its gene product IF-3 thereby regulating its own expression"																								
TIGR02027	965.2402489	-0.442820535	0.283851624	-1.56004228	0.11874989	0.254784736	Transcription	DNA-dependent RNA polymerase	rpoA	"DNA-directed RNA polymerase, alpha subunit, bacterial and chloroplast-type"	rpoA	2.7.7.6	"This family consists of the bacterial (and chloroplast) DNA-directed RNA polymerase alpha subunit, encoded by the rpoA gene. The RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. The amino terminal domain is involved in dimerizing and assembling the other RNA polymerase subunits into a transcriptionally active enzyme. The carboxy-terminal domain contains determinants for interaction with DNA and with transcriptional activator proteins."																								
TIGR01394	838.2506672	-0.068398958	0.251374967	-0.272099322	0.785545651	0.890019762	Regulatory functions	Other	TypA_BipA	GTP-binding protein TypA/BipA	typA	NA	"This bacterial (and Arabidopsis) protein, termed TypA or BipA, a GTP-binding protein, is phosphorylated on a tyrosine residue under some cellular conditions. Mutants show altered regulation of some pathways, but the precise function is unknown."																								
TIGR00382	852.9653775	-0.040854068	0.203242206	-0.201011733	0.8406894	0.91746609	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpX	endopeptidase Clp ATP-binding regulatory subunit (clpX)	clpX	NA	"A member of the ATP-dependent proteases, ClpX has ATP-dependent chaperone activity and is required for specific ATP-dependent proteolytic activities expressed by ClpPX. The gene is also found to be involved in stress tolerance in Bacillus subtilis and is essential for the efficient acquisition of genes specifying type IA and IB restriction."																								
TIGR01068	890.4776497	0.005791577	0.289006961	0.020039575	0.984011803	0.990011461	Energy metabolism	Electron transport	thioredoxin	thioredoxin	trxA	NA	"Several proteins, such as protein disulfide isomerase, have two or more copies of a domain closely related to thioredoxin. This model is designed to recognize authentic thioredoxin, a small protein that should be hit exactly once by this HMM. Any protein that hits once with a score greater than the second (per domain) trusted cutoff may be taken as thioredoxin."																								
